rf,total_quartet,correct_quartet,correct_prop
0,267.85,259.3,0.9680791487773007
0,347.6,326.4,0.9390103567318757
2,406.35,389.05,0.9574258644026086
0,339.15,321.05,0.9466312840925845
0,363.75,354.35,0.9741580756013746
0,400.5,385.35,0.9621722846441948
0,563.7,542.75,0.9628348412276033
0,370.3,347.9,0.9395085066162571
2,366.1,341.0,0.9314394974050806
0,401.2,380.5,0.9484047856430707
0,264.85,246.8,0.9318482159713045
0,265.85,246.05,0.9255219108519842
0,330.0,312.2,0.946060606060606
0,402.85,387.45,0.9617723718505647
0,436.3,420.9,0.9647031858812743
0,432.45,409.75,0.9475083824719621
2,320.3,305.1,0.9525444895410553
0,537.35,524.4,0.9759002512329022
2,336.75,312.9,0.9291759465478842
2,414.7,386.8,0.9327224499638292
2,260.75,243.35,0.9332694151486097
2,139.95,131.65,0.9406931046802429
2,285.15,267.6,0.9384534455549711
0,308.0,291.9,0.9477272727272728
0,442.55,417.0,0.9422664105750762
0,323.05,306.95,0.9501625135427952
0,426.4,391.95,0.9192073170731707
0,330.05,312.6,0.9471292228450234
0,205.55,192.7,0.9374847968864023
0,347.55,334.95,0.9637462235649547
0,275.2,261.65,0.9507630813953488
0,538.9,508.3,0.943217665615142
0,264.7,249.0,0.9406875708349074
0,218.7,209.0,0.9556470050297211
4,151.55,140.5,0.9270867700428901
2,239.3,220.1,0.919765984120351
0,315.75,305.75,0.9683293745051464
0,266.2,254.35,0.9554845980465815
0,283.4,268.4,0.9470712773465068
2,408.5,388.3,0.9505507955936352
0,284.85,274.25,0.9627874319817448
0,282.6,271.4,0.9603680113234253
2,431.9,411.55,0.9528826117156749
2,474.2,451.1,0.9512863770560944
2,330.05,305.8,0.9265262838963794
0,430.95,411.15,0.9540549947789767
0,236.45,215.85,0.9128779868894058
4,385.85,366.45,0.9497213943242192
0,350.1,333.7,0.9531562410739789
0,238.5,219.85,0.9218029350104822
0,388.95,373.25,0.9596349145134336
0,250.2,234.15,0.9358513189448441
2,257.15,246.3,0.9578067275909002
2,375.95,358.05,0.9523872855432903
0,309.4,288.4,0.9321266968325792
2,241.75,231.6,0.9580144777662875
0,198.2,182.85,0.92255297679112
0,406.85,391.5,0.9622711072876982
0,279.25,266.2,0.9532676812891674
2,324.9,313.95,0.9662973222530009
4,291.8,265.35,0.9093557230980124
4,190.35,178.3,0.9366955608090359
2,472.35,453.0,0.9590346141632264
0,212.75,203.5,0.9565217391304348
2,314.45,296.8,0.9438702496422324
0,540.3,509.5,0.9429946326115122
0,246.6,234.1,0.9493106244931062
4,262.65,248.2,0.9449838187702265
0,343.45,327.8,0.9544329596738972
2,364.05,333.85,0.9170443620381815
0,196.2,184.25,0.9390927624872579
0,466.5,428.0,0.917470525187567
0,330.9,314.65,0.9508915080084618
0,419.05,398.45,0.9508411884023387
0,349.75,331.1,0.9466761972837742
0,394.1,369.4,0.9373255518903831
0,310.5,298.1,0.9600644122383253
0,343.0,325.55,0.9491253644314869
0,362.8,339.95,0.9370176405733186
2,204.3,194.3,0.951052373959863
0,261.1,249.35,0.9549980850248947
0,256.2,237.75,0.9279859484777517
0,319.45,302.2,0.9460009391141023
0,321.15,303.3,0.9444184960298926
2,414.35,392.75,0.9478701580789188
0,440.4,415.3,0.9430063578564941
0,417.0,384.9,0.923021582733813
0,367.45,350.65,0.9542794938086815
0,475.8,456.95,0.9603825136612022
2,317.5,302.45,0.9525984251968503
0,309.6,295.3,0.9538113695090439
2,170.5,158.25,0.9281524926686217
0,313.6,294.0,0.9375
0,424.1,396.6,0.9351568026408866
0,362.8,351.8,0.9696802646085998
2,348.95,329.3,0.9436882074795816
0,393.85,379.3,0.9630570013964708
0,270.05,257.1,0.9520459174226995
0,303.45,288.3,0.9500741473059812
0,357.55,341.2,0.9542721297720599
0,387.45,366.05,0.9447670667182863
0,399.3,382.6,0.9581768094164789
0,265.85,253.2,0.9524167763776565
2,342.9,321.0,0.9361329833770778
0,240.3,230.15,0.9577611319184353
0,366.2,350.2,0.9563080283997816
0,448.7,432.45,0.9637842656563406
0,324.3,311.1,0.9592969472710453
2,345.5,332.55,0.9625180897250362
0,266.5,257.1,0.9647279549718574
0,442.4,430.3,0.9726491862567812
0,438.85,420.15,0.9573886293722229
0,373.5,347.0,0.92904953145917
0,333.5,315.35,0.9455772113943028
0,327.75,313.55,0.9566742944317315
2,355.7,333.25,0.9368850154624684
0,334.3,315.1,0.9425665569847442
0,244.75,226.85,0.9268641470888662
2,255.7,238.05,0.9309737974188502
2,547.65,500.3,0.9135396694969414
4,210.15,191.35,0.9105400904116108
0,361.5,343.2,0.9493775933609958
0,486.75,471.5,0.9686697483307652
0,245.35,236.5,0.9639290809048299
4,381.4,353.4,0.9265862611431568
2,394.9,376.0,0.9521397822233477
0,255.3,239.5,0.9381120250685469
2,241.75,234.0,0.96794208893485
2,325.7,303.05,0.9304574762050967
0,393.5,377.6,0.9595933926302415
