rf,total_quartet,correct_quartet,correct_prop
2,674.7,595.0,0.8818734252260264
2,641.2,592.4,0.9238927011852776
2,258.15,236.75,0.9171024598101879
2,656.6,608.55,0.9268199817240329
2,594.65,538.75,0.9059951231817035
0,629.1,572.3,0.9097122873946908
2,995.0,894.45,0.8989447236180904
0,915.65,841.15,0.9186370338011249
0,595.35,543.05,0.9121525153271185
0,669.0,603.5,0.9020926756352765
0,743.55,666.95,0.8969807006926233
0,837.15,743.35,0.8879531744609688
2,659.65,610.9,0.9260971727431213
0,555.0,495.0,0.8918918918918919
0,712.35,636.15,0.8930301116024426
2,630.5,566.15,0.8979381443298969
0,924.3,840.3,0.9091204154495294
6,591.0,509.45,0.8620135363790186
6,536.15,487.65,0.9095402406043085
0,485.9,444.7,0.9152088907182547
0,655.1,592.15,0.9039078003358266
4,426.65,385.25,0.9029649595687331
2,651.45,580.15,0.8905518458822627
0,371.6,345.45,0.9296286329386437
4,448.7,391.1,0.8716291508803209
2,639.4,560.95,0.8773068501720362
2,642.2,558.4,0.8695110557458735
2,576.2,518.7,0.900208261020479
2,861.25,783.1,0.9092597968069667
0,667.75,599.7,0.8980906027704979
2,570.9,510.55,0.8942897179891399
0,604.5,552.0,0.913151364764268
0,713.7,639.1,0.8954742889169118
0,479.9,440.15,0.9171702438007918
0,551.9,505.1,0.9152020293531437
4,703.85,628.85,0.8934432052283867
2,444.75,395.35,0.8889263631253513
2,531.7,474.6,0.8926086138800076
2,560.75,498.0,0.8880962995987517
2,689.9,633.1,0.9176692274242644
0,480.6,440.45,0.9164585934248856
2,582.05,532.35,0.9146121467227901
0,549.2,491.05,0.8941187181354697
6,700.45,627.95,0.8964951102862445
4,626.35,569.1,0.9085974295521673
0,612.25,533.95,0.8721110657411189
2,592.55,548.9,0.926335330351869
4,546.25,477.8,0.8746910755148741
0,701.0,642.15,0.9160485021398003
2,664.4,592.55,0.8918573148705599
0,564.65,510.0,0.9032143805897459
0,414.15,372.75,0.9000362187613183
0,422.7,381.35,0.9021764845043766
2,515.1,471.75,0.9158415841584159
0,587.7,530.9,0.9033520503658329
4,752.6,669.55,0.8896492160510231
6,732.85,638.9,0.8718018694139319
2,602.6,553.8,0.9190175904414205
6,524.55,471.45,0.8987703746068059
2,476.25,436.75,0.9170603674540683
4,714.55,640.3,0.8960884472745084
4,591.55,525.9,0.889020370213845
2,684.95,596.3,0.8705744944886488
0,687.9,613.8,0.8922808547754034
0,828.9,760.7,0.9177222825431295
2,508.9,449.2,0.8826881509137355
4,638.75,564.55,0.8838356164383562
2,549.7,497.3,0.9046752774240495
4,717.55,636.85,0.887533969758205
0,988.9,906.3,0.9164728486196785
2,595.9,548.65,0.9207081725121665
0,649.1,584.75,0.9008627330149438
0,498.65,443.7,0.889802466659982
0,904.8,822.35,0.9088748894783377
2,749.65,675.6,0.9012205695991463
2,719.7,640.3,0.8896762539947201
4,498.85,434.75,0.8715044602585947
2,667.3,608.9,0.9124831410160348
2,594.1,522.95,0.880239017000505
4,549.5,506.55,0.9218380345768881
2,689.0,637.0,0.9245283018867925
2,610.65,541.65,0.8870056497175142
0,682.05,637.2,0.9342423575984166
0,820.05,746.1,0.9098225717944027
2,656.15,601.4,0.9165587137087556
0,676.9,618.2,0.9132811345841335
6,560.65,496.85,0.8862035137786498
0,872.2,795.35,0.9118894748910801
0,520.85,472.1,0.9064029951041567
0,576.05,521.5,0.9053033590834129
0,647.85,587.25,0.9064598286640426
6,506.15,451.65,0.8923244097599525
4,629.2,556.75,0.8848537825810553
0,710.15,645.05,0.9083292262198127
0,577.25,531.15,0.9201385881333911
0,687.75,625.55,0.9095601599418394
2,575.0,522.6,0.9088695652173913
0,512.7,456.95,0.891261946557441
0,413.7,383.45,0.926879381194102
2,468.15,417.6,0.8920217878884973
4,424.15,383.55,0.9042791465283508
0,519.35,464.95,0.8952536824877251
2,425.7,381.4,0.8959361052384308
2,558.55,503.7,0.9017993017634948
2,614.05,562.6,0.9162120348505822
4,548.75,496.85,0.9054214123006834
4,744.2,668.85,0.8987503359312012
0,561.4,497.6,0.8863555397221232
0,513.4,457.6,0.8913128165173354
0,391.8,363.5,0.9277692700357325
0,616.2,575.45,0.9338688737422914
2,511.75,462.1,0.9029799706888129
4,572.75,504.75,0.8812745525971192
2,637.0,584.3,0.9172684458398744
2,780.1,710.05,0.910203820023074
0,492.8,454.35,0.921976461038961
0,691.2,626.1,0.9058159722222222
2,470.05,410.8,0.8739495798319328
2,617.45,569.55,0.9224228682484412
0,628.35,564.25,0.8979867908013051
0,623.1,553.4,0.8881399454341197
2,687.45,619.0,0.9004291221179722
0,402.6,358.15,0.8895926477893691
4,436.0,386.05,0.8854357798165138
0,397.95,360.55,0.906018344013067
0,634.05,564.65,0.8905449097074363
6,396.45,353.8,0.8924202295371422
2,671.2,612.35,0.9123212157330155
0,806.6,725.7,0.8997024547483263
2,538.1,496.1,0.9219475933841293
0,595.45,538.65,0.9046099588546478
0,882.45,797.2,0.9033939599977335
8,750.65,673.35,0.8970225804302937
0,923.5,850.8,0.9212777476989713
0,688.55,635.3,0.9226635683683102
0,800.35,720.5,0.9002311488723683
2,587.8,534.45,0.9092378359986389
0,484.05,440.8,0.9106497262679475
4,818.0,751.35,0.918520782396088
0,625.95,570.9,0.9120536784088186
0,737.55,675.4,0.9157345264727815
6,653.9,571.65,0.8742162410154458
0,495.15,446.55,0.9018479248712511
0,693.7,632.8,0.9122098890010091
0,826.2,735.65,0.8904018397482449
2,580.3,515.3,0.8879889712217819
4,642.35,573.25,0.8924262473729275
2,474.3,424.7,0.8954248366013072
0,613.35,565.0,0.9211706203635771
0,677.65,623.15,0.91957500184461
4,601.55,523.8,0.8707505610506192
0,831.2,757.7,0.9115736284889316
2,808.15,717.15,0.8873971416197488
4,486.4,426.75,0.8773643092105263
2,389.15,355.05,0.9123731209045355
6,925.3,840.75,0.9086242299794661
2,610.3,555.95,0.9109454366704899
2,495.35,429.3,0.8666599374179873
0,694.1,623.1,0.8977092637948423
8,397.35,337.95,0.8505096262740657
4,529.95,479.15,0.9041419001792622
0,450.2,404.35,0.8981563749444691
2,766.3,682.25,0.8903171081821741
2,728.4,668.4,0.9176276771004942
2,827.75,753.85,0.9107218363032317
0,596.2,536.8,0.9003690036900369
2,566.95,514.2,0.9069582855631008
4,547.45,490.2,0.8954242396565897
0,607.75,576.9,0.9492389962978198
2,790.5,693.15,0.8768500948766603
2,561.7,514.1,0.9152572547623287
4,430.5,372.15,0.8644599303135888
4,529.1,467.15,0.882914382914383
2,355.15,304.95,0.8586512741095312
0,585.6,532.55,0.9094091530054644
0,668.4,597.0,0.8931777378815081
0,581.55,514.05,0.8839308743874129
2,700.15,632.75,0.9037349139470113
0,724.5,656.85,0.9066252587991719
2,585.0,518.7,0.8866666666666667
2,491.75,435.3,0.8852058973055414
2,602.1,537.15,0.8921275535625312
0,637.55,556.7,0.8731864167516273
0,645.2,598.3,0.9273093614383137
0,790.8,711.95,0.9002908447142135
0,690.9,614.1,0.8888406426400347
0,520.2,484.0,0.9304113802383699
6,622.85,568.75,0.9131412057477724
0,473.95,430.7,0.9087456482751345
2,626.55,569.05,0.9082275955630037
0,536.4,473.5,0.8827367636092468
2,458.1,399.65,0.8724077712289893
2,516.05,470.25,0.9112489099893422
2,642.0,584.8,0.9109034267912772
0,413.4,369.65,0.8941702951136914
2,616.75,555.85,0.9012565869477097
0,515.25,468.1,0.9084910237748666
2,502.85,449.65,0.8942030426568559
2,705.5,633.95,0.898582565556343
0,628.8,565.15,0.8987754452926209
2,515.15,448.15,0.8699407939435116
0,515.9,475.8,0.9222717580926536
2,850.05,770.65,0.9065937297806012
2,606.15,531.8,0.8773405922626413
0,735.4,674.5,0.9171879249388089
2,616.55,557.45,0.9041440272483984
2,881.7,804.7,0.9126687081773845
0,736.0,651.7,0.8854619565217391
0,819.85,741.25,0.9041288040495212
2,637.2,544.35,0.8542843691148776
2,563.2,513.8,0.9122869318181818
0,598.35,515.05,0.8607838221776553
2,625.6,567.25,0.9067295396419437
2,739.45,679.5,0.9189262289539523
0,634.5,582.95,0.9187549251379039
2,406.8,370.8,0.911504424778761
2,484.25,445.1,0.9191533298915849
2,868.95,805.2,0.9266355946832384
2,492.45,447.2,0.9081124987308357
0,643.25,590.0,0.9172172561212593
0,711.65,647.8,0.9102789292489285
