rf,total_quartet,correct_quartet,correct_prop
0,1360.4,1301.45,0.9566671567186121
0,1087.85,1007.55,0.9261846761961667
2,1129.15,1027.7,0.9101536554045078
0,1179.5,1101.1,0.9335311572700297
0,1083.65,1042.15,0.961703502053246
0,1041.5,987.9,0.9485357657225156
2,1184.0,1124.55,0.9497888513513514
0,1011.85,940.15,0.9291396946187676
0,1049.35,983.35,0.9371039214751989
0,1116.2,1052.1,0.9425730155886042
0,1058.4,970.4,0.9168556311413454
0,1167.95,1114.9,0.9545785350400274
0,1172.75,1106.55,0.9435514815604349
0,1305.95,1206.35,0.9237336804624986
0,1215.8,1121.1,0.9221088994900477
0,1193.9,1104.85,0.9254125136108552
0,1134.55,1063.45,0.9373319818430215
0,1126.25,1064.4,0.9450832408435073
0,1032.8,932.65,0.9030305964368707
0,1074.75,1019.9,0.948964875552454
0,1281.9,1209.7,0.9436773539277635
0,1230.85,1171.55,0.9518219116870456
2,1264.3,1176.6,0.9306335521632524
2,1142.45,1088.7,0.9529519891461333
0,1052.45,986.95,0.9377642643355979
0,1066.8,1009.1,0.9459130108736408
0,1353.35,1272.25,0.9400746296227879
0,1378.7,1310.8,0.9507507071879306
0,1033.05,982.2,0.9507768259038769
0,1347.95,1272.0,0.9436551800882822
0,1090.4,972.2,0.8915994130594277
0,1132.65,1052.1,0.9288835915772745
0,1334.25,1268.85,0.9509836987071388
2,951.7,888.95,0.934065356730062
0,1180.5,1105.6,0.9365523083439221
0,1255.65,1177.5,0.9377613188388484
0,974.05,916.8,0.9412247831220163
0,1147.15,1074.8,0.9369306542300484
0,1312.55,1257.15,0.9577920841110815
0,966.45,898.35,0.9295359304671736
0,1197.7,1118.0,0.933455790264674
0,688.55,628.3,0.9124972768862102
0,1138.1,1090.25,0.9579562428609085
0,1368.15,1302.55,0.9520520410773673
0,1188.2,1122.6,0.9447904393199797
0,1200.85,1096.1,0.9127701211641753
0,1173.3,1098.75,0.9364612631040654
0,925.0,868.85,0.9392972972972973
0,1217.35,1150.65,0.9452088553004477
0,1446.55,1369.85,0.9469772907953407
2,1140.85,1047.55,0.9182188718937634
0,1174.7,1107.05,0.9424108282965864
0,1071.4,994.7,0.9284114243046481
0,1294.25,1245.35,0.9622175004829051
0,1032.7,968.0,0.9373486975888448
0,1340.65,1269.2,0.9467049565509268
2,1296.65,1195.8,0.9222226506767439
0,1234.5,1154.25,0.9349939246658566
0,1113.6,1045.3,0.9386673850574713
0,1227.75,1145.75,0.9332111586234982
0,1200.8,1142.5,0.9514490339773485
0,1202.45,1102.7,0.9170443677491787
0,1095.9,1012.85,0.9242175380965416
0,1108.9,1031.4,0.9301109207322572
0,1241.15,1140.8,0.9191475647584901
0,1039.5,988.4,0.9508417508417508
0,1103.45,1049.95,0.9515157007567175
0,1239.0,1151.6,0.9294592413236481
0,1068.8,1004.4,0.9397455089820359
0,1273.9,1148.5,0.9015621320354816
0,1386.8,1300.9,0.9380588404961061
0,1435.05,1353.2,0.9429636598027943
0,968.2,915.55,0.9456207395166288
0,1002.5,976.05,0.9736159600997506
0,1421.8,1334.6,0.938669292446195
2,1323.35,1239.9,0.9369403408017531
0,1245.35,1150.5,0.9238366724214077
0,1394.1,1303.35,0.9349042392941683
0,1163.4,1098.55,0.944258208698642
0,1197.15,1114.75,0.9311698617550015
0,1216.1,1152.85,0.9479894745497903
0,1094.95,1006.1,0.9188547422256724
0,1098.95,1021.5,0.9295236361981892
0,909.6,860.95,0.9465149516270889
0,1269.5,1157.45,0.9117369042930288
0,1201.15,1151.6,0.958747866627815
0,1213.2,1148.4,0.9465875370919882
0,1148.4,1028.3,0.8954197143852316
0,1137.1,1055.25,0.9280186439187407
4,1277.85,1155.15,0.9039793402981571
0,981.25,893.2,0.9102675159235669
0,956.35,906.15,0.9475087572541434
0,1551.55,1434.95,0.924849344204183
0,1115.95,1018.7,0.9128545185716206
0,1363.9,1275.85,0.9354424811203167
0,1282.55,1198.95,0.9348173560484971
0,1125.55,1072.3,0.9526897960996846
0,1310.75,1213.85,0.9260728590501621
0,1193.5,1124.35,0.9420611646418098
0,1248.1,1170.95,0.9381860427850333
0,1332.45,1247.85,0.9365079365079365
2,1079.5,1014.95,0.9402037980546549
0,1200.3,1110.35,0.9250604015662751
2,1212.4,1099.55,0.9069201583635764
0,1079.15,1025.75,0.9505166102951397
0,1099.45,998.5,0.9081813634089773
0,1132.45,1043.7,0.9216300940438872
0,1149.5,1080.55,0.9400173988690735
0,924.8,887.5,0.959666955017301
0,1044.4,1001.4,0.9588280352355419
2,964.5,889.95,0.922706065318818
0,1347.6,1231.7,0.913995250816266
0,1018.85,970.1,0.9521519360062816
0,1166.65,1112.25,0.9533707624394634
0,1075.8,987.8,0.918200408997955
0,1309.85,1247.6,0.9524754742909494
2,1025.25,964.15,0.9404047793221165
0,1210.4,1126.75,0.9308906146728354
0,895.45,811.8,0.9065832821486404
0,1055.2,961.5,0.9112016679302501
0,1090.4,1028.6,0.9433235509904622
0,1193.75,1117.55,0.9361675392670157
0,1367.7,1281.65,0.9370841558821379
0,1089.65,1036.65,0.9513605286101041
0,1113.85,1035.05,0.9292543879337434
0,1128.5,1059.45,0.9388125830748781
0,1053.95,966.4,0.9169315432420893
0,1248.9,1138.9,0.9119224917927776
0,1214.5,1133.7,0.9334705640181145
2,1301.4,1216.6,0.9348394037190718
0,1163.4,1103.4,0.9484270242392986
0,1436.6,1351.75,0.9409369344285118
0,1064.5,985.1,0.9254109910756224
0,1400.6,1305.05,0.9317792374696559
0,1012.1,942.4,0.9311332872245826
0,1133.65,1078.15,0.9510430909010718
0,1133.95,1033.1,0.9110630980201949
0,893.05,854.3,0.9566093723755669
0,990.4,900.4,0.9091276252019386
0,1099.75,1039.5,0.9452148215503523
2,1159.95,1087.7,0.9377128324496745
0,1324.35,1247.75,0.9421603050553101
0,1373.45,1306.2,0.9510357129855473
0,1190.0,1115.25,0.9371848739495798
0,1002.95,931.75,0.9290094222044968
0,1391.25,1288.4,0.92607367475292
0,1102.85,1065.1,0.9657705036949721
0,1017.3,962.3,0.945935318981618
0,1170.5,1084.75,0.9267407090986758
2,964.8,889.8,0.9222636815920398
0,1395.4,1279.6,0.9170130428550953
0,1360.15,1271.65,0.9349336470242253
0,1018.8,922.3,0.9052807224185316
0,1274.65,1205.7,0.9459067194916252
0,1127.75,1070.15,0.9489248503657726
0,1208.95,1145.7,0.9476818726994499
0,1228.15,1148.35,0.9350242234254773
0,1024.35,976.6,0.9533850734612193
0,1091.4,1011.35,0.9266538391057357
0,1226.5,1132.35,0.9232368528332654
0,1219.95,1116.2,0.9149555309643838
0,1193.3,1135.05,0.9511857873124948
0,1262.8,1180.3,0.9346689895470384
0,1198.8,1119.55,0.9338922255588922
0,1363.1,1271.4,0.9327268725698775
0,1067.65,1001.95,0.938462979440828
0,1194.4,1125.75,0.9425234427327528
0,1124.75,1054.8,0.9378084018670816
0,974.8,923.85,0.9477328682806729
0,1277.6,1197.65,0.9374217282404509
0,1142.45,1058.65,0.92664886865946
0,1368.6,1268.1,0.9265672950460324
0,922.0,857.1,0.9296095444685466
0,996.8,951.1,0.954153290529695
0,1148.5,1047.9,0.9124074880278624
0,1152.95,1078.5,0.9354265145930005
0,1358.35,1283.55,0.9449331910037914
0,1340.4,1252.3,0.9342733512384362
0,1212.35,1152.7,0.9507980368705407
0,989.8,928.95,0.9385229339260457
2,1075.75,984.2,0.914896583778759
0,1381.15,1327.2,0.9609383484777179
4,1015.0,934.8,0.9209852216748768
0,1382.45,1285.35,0.9297623783861985
0,1232.25,1157.4,0.9392574558734023
0,1248.9,1186.85,0.9503162783249259
0,1209.35,1125.0,0.9302517881506595
0,1195.45,1141.75,0.9550796771090384
0,1234.3,1154.85,0.9356315320424532
0,1201.65,1127.65,0.9384180085715474
0,1202.1,1090.2,0.9069129024207636
0,1340.9,1245.05,0.9285181594451488
0,1098.25,1014.8,0.924015479171409
0,1117.15,1064.85,0.9531844425547151
2,1346.55,1237.5,0.9190152612231257
0,1281.1,1176.6,0.9184294746702053
0,1112.25,1036.65,0.9320296695886716
0,1456.75,1374.55,0.9435730221383216
0,1234.3,1158.4,0.938507656161387
