rf,total_quartet,correct_quartet,correct_prop
6,109.05,92.85,0.8514442916093535
6,70.15,54.95,0.7833214540270849
6,113.45,88.75,0.7822829440282063
0,66.2,60.85,0.9191842900302115
4,258.3,213.6,0.826945412311266
8,124.0,107.65,0.8681451612903226
8,145.4,119.35,0.8208390646492435
8,115.2,91.5,0.7942708333333334
6,44.1,37.8,0.8571428571428571
2,125.85,110.45,0.877632101708383
4,157.9,129.15,0.817922735908803
6,155.5,128.9,0.8289389067524116
4,158.7,134.9,0.8500315059861374
20,89.65,64.85,0.7233686558839934
12,62.15,52.3,0.8415124698310539
2,89.15,72.8,0.8166012338754908
10,155.2,133.85,0.8624355670103093
0,156.7,133.15,0.8497128270580727
6,138.15,115.9,0.8389431777053927
8,122.75,100.65,0.819959266802444
8,62.35,47.4,0.7602245388933441
4,180.35,130.05,0.7210978652619906
6,114.1,89.8,0.7870289219982471
2,289.45,237.25,0.8196579720158922
16,110.1,77.35,0.7025431425976385
10,89.15,67.1,0.7526640493550196
18,101.95,79.5,0.7797940166748406
8,145.7,116.5,0.7995881949210707
2,92.05,84.75,0.9206952743074416
6,107.8,92.7,0.859925788497217
8,48.75,40.6,0.8328205128205128
6,91.6,81.75,0.892467248908297
12,106.9,80.6,0.7539756782039289
10,134.0,108.55,0.8100746268656717
4,147.6,138.4,0.9376693766937669
2,114.75,110.15,0.9599128540305011
4,111.8,97.15,0.8689624329159212
6,188.75,140.1,0.7422516556291391
0,179.15,162.55,0.9073402176946693
14,127.15,103.15,0.8112465591820684
6,57.3,48.55,0.8472949389179756
12,113.15,88.85,0.7852408307556341
4,310.05,265.3,0.855668440574101
10,205.8,165.15,0.8024781341107872
8,86.45,72.1,0.8340080971659919
4,265.0,232.35,0.8767924528301887
6,44.9,33.0,0.734966592427617
10,84.9,65.55,0.7720848056537103
8,123.25,95.15,0.7720081135902637
8,109.4,88.85,0.8121572212065814
10,161.65,130.3,0.8060624806681101
6,44.95,35.1,0.7808676307007787
10,107.6,93.35,0.8675650557620818
10,59.2,47.6,0.8040540540540541
4,171.5,143.7,0.8379008746355685
12,77.9,59.5,0.7637997432605905
10,62.4,50.0,0.8012820512820513
14,83.75,52.75,0.6298507462686567
22,152.3,106.2,0.6973079448456992
6,75.9,64.2,0.8458498023715415
6,296.5,236.65,0.7981450252951097
10,92.35,76.75,0.8310774228478613
12,101.9,76.45,0.7502453385672228
6,211.15,172.85,0.8186123608808904
6,133.75,110.3,0.8246728971962617
12,162.4,119.15,0.7336822660098522
12,62.85,46.6,0.741447891805887
12,78.75,63.0,0.8
6,170.8,139.25,0.8152810304449649
2,175.85,143.65,0.8168893943702019
6,172.4,147.85,0.8575986078886311
8,160.8,121.3,0.7543532338308457
10,40.75,29.55,0.7251533742331289
0,219.7,193.25,0.8796085571233501
4,108.55,89.95,0.828650391524643
2,133.8,125.35,0.9368460388639761
8,59.55,48.2,0.8094038623005877
4,134.1,125.6,0.9366144668158091
6,152.8,123.25,0.8066099476439791
0,174.4,150.55,0.8632454128440367
4,213.0,180.7,0.8483568075117371
8,141.45,113.65,0.8034641215977377
4,120.25,103.85,0.8636174636174636
2,181.05,151.15,0.8348522507594587
2,185.5,153.7,0.8285714285714286
14,95.75,78.15,0.8161879895561358
16,145.35,120.35,0.828001375988992
18,89.3,58.85,0.6590145576707727
10,161.7,123.0,0.7606679035250464
8,200.85,162.4,0.8085636046801096
2,105.6,96.05,0.9095643939393939
12,52.55,41.3,0.7859181731684111
8,123.3,100.4,0.8142741281427412
10,112.55,99.35,0.8827187916481564
8,47.5,36.4,0.7663157894736842
10,106.25,73.7,0.6936470588235294
8,158.7,126.4,0.796471329552615
4,142.05,125.35,0.8824357620556142
8,77.6,62.4,0.8041237113402062
8,77.85,57.5,0.7385998715478485
10,154.4,114.55,0.7419041450777202
10,104.75,87.9,0.8391408114558473
16,51.65,32.3,0.6253630203291385
10,28.55,21.4,0.7495621716287215
8,126.3,111.3,0.8812351543942993
10,125.9,95.05,0.7549642573471008
14,179.45,139.25,0.775982167734745
2,91.7,79.8,0.8702290076335878
8,211.7,178.25,0.8419933868682097
4,96.8,88.3,0.9121900826446281
4,148.55,123.95,0.8343991921911814
6,134.7,116.2,0.8626577579806979
8,157.5,124.4,0.7898412698412698
6,44.0,33.0,0.75
