rf,total_quartet,correct_quartet,correct_prop
0,910.1,910.1,1.0
0,782.65,782.65,1.0
0,850.65,850.65,1.0
0,754.4,754.4,1.0
0,559.85,555.15,0.9916048941680807
0,566.9,566.9,1.0
0,782.25,782.25,1.0
0,829.7,825.5,0.9949379293720622
0,935.5,935.3,0.9997862105825761
0,799.0,799.0,1.0
0,800.75,800.75,1.0
0,1047.35,1047.35,1.0
0,793.6,793.6,1.0
0,581.7,581.4,0.999484270242393
0,1141.0,1141.0,1.0
0,693.4,691.6,0.9974040957600231
0,545.15,545.15,1.0
0,590.8,590.8,1.0
0,751.75,751.15,0.9992018623212504
0,758.7,757.1,0.9978911295637274
0,826.35,826.35,1.0
0,299.1,296.85,0.9924774322968907
0,766.45,764.55,0.997521038554374
0,621.8,621.8,1.0
0,660.45,660.45,1.0
0,938.8,935.2,0.9961653174265019
0,914.75,914.45,0.9996720415414048
0,672.8,672.8,1.0
0,841.85,841.25,0.9992872839579497
0,724.25,722.75,0.9979288919571971
0,893.05,892.8,0.9997200604669392
0,748.7,743.3,0.9927874983304394
0,756.45,752.95,0.9953731244629519
0,916.15,916.15,1.0
0,693.0,690.65,0.9966089466089466
0,790.2,788.55,0.9979119210326499
0,829.1,829.1,1.0
0,886.4,886.4,1.0
0,738.75,738.15,0.9991878172588833
0,696.5,696.5,1.0
0,811.65,810.5,0.9985831331238835
0,737.95,732.05,0.992004878379294
0,925.3,924.8,0.999459634713066
0,692.15,692.15,1.0
0,997.1,994.05,0.9969411292748972
0,1037.65,1037.65,1.0
0,529.85,528.15,0.9967915447768236
0,1013.2,1012.65,0.9994571654165022
0,755.55,755.55,1.0
0,724.45,723.4,0.9985506246117745
0,555.75,555.75,1.0
0,731.25,726.4,0.9933675213675214
0,665.55,663.75,0.9972954699121027
0,776.5,776.5,1.0
0,821.25,819.55,0.9979299847792998
0,662.45,657.25,0.9921503509698845
0,718.4,718.1,0.9995824053452116
0,784.5,783.0,0.9980879541108987
0,587.95,587.65,0.9994897525299771
0,977.55,969.7,0.9919697202189146
0,873.75,869.25,0.9948497854077253
0,655.5,655.5,1.0
0,453.85,451.85,0.9955932576842569
0,684.9,684.7,0.9997079865673821
0,943.45,943.45,1.0
0,518.2,518.2,1.0
0,915.4,913.65,0.9980882674240769
0,847.65,846.25,0.9983483749188934
0,1134.2,1133.95,0.9997795803209311
0,923.55,919.55,0.9956688863624059
0,867.7,859.1,0.9900887403480466
0,594.75,591.25,0.9941151744430433
0,684.85,684.85,1.0
0,814.95,814.95,1.0
0,979.8,979.8,1.0
0,408.25,408.25,1.0
0,1148.45,1147.8,0.9994340197657713
0,838.75,838.75,1.0
0,799.25,798.6,0.9991867375664686
0,1057.3,1050.3,0.993379362527192
0,1085.2,1085.2,1.0
0,650.0,649.4,0.9990769230769231
0,748.5,748.5,1.0
0,452.1,451.5,0.9986728599867286
0,716.85,716.85,1.0
0,731.05,725.2,0.9919978113672115
0,657.75,656.5,0.9980995819080197
0,692.2,692.0,0.999711066165848
0,732.35,728.75,0.9950843176077012
0,873.4,873.4,1.0
0,809.5,806.3,0.996046942557134
0,873.05,872.45,0.9993127541377927
0,799.9,796.3,0.9954994374296787
0,824.95,823.95,0.9987878053215347
0,438.25,436.85,0.9968054763262978
0,627.3,627.3,1.0
0,612.6,607.3,0.9913483512895854
0,887.6,887.6,1.0
0,721.15,719.95,0.998335991125286
0,881.4,875.6,0.9934195597912412
0,836.9,834.5,0.9971322738678456
0,956.45,953.45,0.9968634011187203
0,754.9,744.3,0.9859584050867665
0,841.35,837.7,0.9956617341177869
0,857.1,857.1,1.0
0,843.1,827.0,0.9809038073775352
0,773.25,773.25,1.0
0,1018.7,1013.3,0.9946991263374889
0,896.15,892.1,0.9954806672990013
0,860.85,860.85,1.0
0,696.8,696.4,0.9994259471871412
0,759.5,759.0,0.9993416721527321
0,737.0,737.0,1.0
0,528.8,527.8,0.9981089258698941
0,686.0,686.0,1.0
0,838.15,834.55,0.9957048261051125
0,612.7,611.9,0.9986943039007671
0,870.95,864.7,0.9928239278948275
0,672.55,672.55,1.0
0,1113.95,1113.95,1.0
0,595.2,595.2,1.0
0,728.7,728.7,1.0
0,682.9,682.9,1.0
0,595.95,595.95,1.0
0,863.1,862.9,0.99976827714054
0,881.3,879.2,0.9976171564733916
0,819.95,816.35,0.995609488383438
0,731.1,731.1,1.0
0,891.85,880.7,0.987497897628525
0,747.45,747.45,1.0
0,570.4,561.45,0.9843092566619915
0,930.75,929.65,0.9988181573999463
0,598.6,588.95,0.9838790511192783
0,823.8,823.8,1.0
0,506.45,506.45,1.0
0,815.25,809.6,0.9930696105489114
0,873.5,868.05,0.9937607326846022
0,843.1,843.1,1.0
0,730.4,728.8,0.9978094194961665
0,630.9,630.6,0.9995244888254874
0,559.45,553.95,0.9901689158995441
0,605.15,605.15,1.0
0,681.05,677.55,0.994860876587622
0,738.55,738.55,1.0
0,610.0,608.2,0.9970491803278688
0,806.2,805.6,0.9992557677995535
0,838.5,838.5,1.0
0,595.0,593.5,0.9974789915966387
0,1007.35,1005.05,0.9977167816548369
0,727.3,727.3,1.0
0,951.2,951.2,1.0
0,813.1,808.9,0.9948345836920428
0,715.9,715.9,1.0
0,488.25,487.5,0.9984639016897081
0,694.8,694.65,0.9997841105354058
0,1053.8,1051.7,0.9980072119946859
0,631.3,625.25,0.9904166006652938
0,729.25,729.25,1.0
0,1076.6,1061.4,0.9858814787293331
0,687.75,687.75,1.0
0,868.6,868.6,1.0
0,828.1,827.5,0.9992754498249004
0,822.45,822.45,1.0
0,1399.15,1397.95,0.9991423364185398
0,1093.2,1089.1,0.9962495426271496
0,711.7,708.55,0.9955739777996346
0,463.35,462.25,0.9976259846768102
0,1031.0,1027.5,0.9966052376333656
0,659.25,658.05,0.9981797497155859
0,872.65,863.15,0.9891136194350542
0,637.55,637.45,0.9998431495568975
0,862.45,857.1,0.9937967418401067
0,856.6,856.6,1.0
0,354.7,354.1,0.9983084296588667
0,484.3,482.3,0.9958703283088994
0,924.5,911.2,0.9856138453217955
0,906.5,903.1,0.9962493105350249
0,856.65,855.45,0.9985991945368587
0,518.35,503.5,0.9713514034918491
