rf,total_quartet,correct_quartet,correct_prop
2,152.35,138.9,0.9117164424023629
12,74.15,62.4,0.8415374241402562
2,91.15,82.1,0.9007131102578168
6,94.25,83.8,0.8891246684350133
8,59.9,49.5,0.8263772954924875
2,109.8,96.65,0.8802367941712204
2,106.05,90.55,0.8538425271098539
4,122.65,111.7,0.9107215654300856
10,57.8,49.95,0.8641868512110726
6,101.55,86.4,0.8508124076809453
8,82.9,72.2,0.8709288299155609
8,76.65,63.75,0.8317025440313112
6,85.85,76.4,0.8899242865463017
4,45.55,40.7,0.893523600439078
6,81.0,74.8,0.9234567901234568
4,110.55,99.2,0.8973315241971959
10,23.85,20.05,0.8406708595387841
8,136.95,120.8,0.882073749543629
12,120.65,103.75,0.8599254040613344
2,201.55,181.2,0.8990324981394195
10,100.55,86.05,0.8557931377424167
6,159.6,137.5,0.8615288220551378
10,131.55,113.55,0.863169897377423
6,93.75,80.7,0.8608
4,161.1,144.0,0.8938547486033519
6,102.6,86.45,0.8425925925925926
8,49.55,40.7,0.8213925327951564
4,70.05,63.05,0.9000713775874375
8,120.8,104.25,0.8629966887417219
10,25.15,22.0,0.8747514910536779
8,35.35,31.75,0.8981612446958982
2,102.9,94.4,0.9173955296404276
10,94.85,72.65,0.7659462308908803
8,134.7,125.05,0.9283593170007424
4,115.05,103.5,0.8996088657105606
2,84.05,74.25,0.883402736466389
6,82.65,72.05,0.8717483363581368
4,88.6,81.45,0.9193002257336343
6,119.95,107.85,0.8991246352646937
8,33.5,26.55,0.7925373134328358
10,97.25,85.05,0.8745501285347044
0,134.5,124.45,0.9252788104089219
4,65.7,60.35,0.9185692541856926
10,68.1,58.5,0.8590308370044053
8,150.45,129.55,0.8610834164174144
12,47.75,37.5,0.7853403141361257
4,76.8,71.75,0.9342447916666666
8,150.65,134.25,0.891138400265516
10,84.45,72.5,0.8584961515689757
8,37.5,33.7,0.8986666666666666
6,86.75,80.85,0.9319884726224784
6,175.1,150.35,0.8586521987435751
6,58.25,48.95,0.8403433476394849
8,66.05,61.15,0.9258137774413323
6,74.6,60.2,0.806970509383378
2,69.6,61.5,0.8836206896551724
6,108.25,93.8,0.8665127020785219
4,106.3,88.95,0.8367826904985889
6,95.8,84.7,0.884133611691023
10,52.55,43.8,0.8334919124643198
4,101.75,89.25,0.8771498771498771
4,83.05,77.95,0.938591210114389
14,46.05,38.55,0.8371335504885994
6,49.0,44.1,0.9
12,27.0,24.1,0.8925925925925926
10,144.85,124.3,0.8581290990680014
2,209.1,185.15,0.8854615016738403
4,50.75,45.5,0.896551724137931
6,95.95,84.25,0.8780614903595623
6,124.8,109.35,0.8762019230769231
2,212.5,187.55,0.8825882352941177
6,71.6,62.5,0.8729050279329609
0,123.85,107.15,0.8651594670972951
6,112.1,93.35,0.8327386262265835
14,142.45,116.2,0.8157248157248157
6,154.9,128.25,0.827953518398967
8,87.4,76.65,0.8770022883295194
4,139.7,123.55,0.8843951324266285
4,45.2,39.5,0.8738938053097345
12,75.8,60.3,0.7955145118733509
4,50.7,44.6,0.8796844181459567
4,54.05,45.0,0.8325624421831638
8,71.7,64.4,0.898186889818689
8,56.4,46.85,0.8306737588652482
8,138.95,123.05,0.8855703490464196
