rf,total_quartet,correct_quartet,correct_prop
0,772.7,717.95,0.929144558043225
0,1475.75,1385.65,0.938946298492292
0,1264.6,1179.85,0.9329827613474616
4,962.65,900.5,0.935438632940321
0,865.75,808.65,0.9340456251804794
0,924.35,884.5,0.9568886244387949
2,1270.6,1183.65,0.9315677632614513
0,1204.4,1116.35,0.9268930587844569
0,1096.7,1016.2,0.926597975745418
0,904.15,800.35,0.8851960404800089
0,1027.95,948.85,0.9230507320394961
2,1347.6,1285.0,0.9535470466013654
0,1101.15,1016.3,0.9229441947055351
0,1229.75,1149.9,0.9350681032730229
0,1340.15,1276.65,0.9526172443383203
0,1100.45,1027.3,0.9335271934208733
0,1084.45,988.95,0.9119369265526304
0,1166.95,1095.15,0.9384720853507006
0,1276.6,1186.7,0.9295785680714398
2,1002.95,932.95,0.9302058926167805
0,1340.5,1236.7,0.9225662066393137
0,1147.45,1094.35,0.9537234737897076
0,844.1,786.0,0.9311692927378272
0,1217.7,1144.7,0.9400509156606718
0,1438.9,1346.55,0.9358190284244909
0,1119.95,1052.5,0.9397740970579044
0,964.35,889.25,0.9221237102711671
0,1039.15,964.35,0.9280180917095703
0,1177.85,1123.95,0.9542386551768052
0,1393.4,1301.55,0.9340821013348644
0,1102.25,1039.7,0.9432524381946019
0,1197.75,1106.7,0.923982467125861
0,1196.55,1129.95,0.944339977435126
0,1223.9,1114.55,0.9106544652340878
0,1280.85,1191.0,0.9298512706405903
0,1201.8,1076.95,0.896114162090198
0,1215.0,1123.45,0.9246502057613168
0,1233.15,1154.6,0.9363013420913919
0,1011.4,953.45,0.9427031837057545
0,946.8,907.7,0.9587029995775243
0,1163.1,1056.6,0.9084343564611813
0,1298.95,1236.4,0.9518457215443242
0,1285.0,1202.65,0.9359143968871595
0,973.85,927.2,0.9520973455871027
0,1081.1,1022.6,0.9458884469521783
0,988.6,944.9,0.9557960752579405
2,1065.95,978.35,0.9178197851681599
0,1257.2,1165.35,0.9269408208717785
0,911.65,857.85,0.940986124060769
0,1266.75,1180.15,0.9316360765739096
0,1040.7,969.0,0.9311040645719227
0,1210.0,1172.95,0.9693801652892562
0,1109.95,1057.0,0.9522951484301094
0,1322.0,1217.75,0.921142208774584
0,1233.1,1138.7,0.9234449760765551
2,1300.35,1218.3,0.9369016034144654
0,857.45,815.65,0.9512508017960231
0,1286.4,1218.05,0.9468672263681592
0,1301.85,1169.25,0.8981449475746054
0,1044.9,965.9,0.9243946789166427
2,1029.0,948.9,0.9221574344023323
0,984.15,925.3,0.9402022049484327
0,1212.4,1100.4,0.9076212471131639
0,1184.8,1118.0,0.9436191762322755
0,1144.4,1077.3,0.9413666550157288
0,1188.3,1104.4,0.9293949339392409
0,889.95,828.9,0.9314006404854205
0,1072.3,979.5,0.913457054928658
0,1130.65,1079.9,0.9551143147746871
0,967.1,894.3,0.9247233998552373
2,1158.0,1095.3,0.9458549222797927
0,1099.95,1024.15,0.9310877767171235
2,928.2,842.3,0.907455289808231
0,1145.6,1046.0,0.9130586592178771
0,1253.85,1125.6,0.8977150376839335
2,881.2,832.9,0.9451883794825239
0,1248.75,1188.45,0.9517117117117118
0,1212.65,1092.3,0.900754545829382
0,870.9,816.25,0.9372488230566081
0,1286.6,1192.35,0.9267449090626457
0,1161.1,1093.7,0.9419515976229438
0,1092.65,1049.25,0.9602800530819567
2,1284.1,1199.7,0.9342730316953508
0,1016.8,952.05,0.9363198269079465
0,1193.95,1063.85,0.8910339628962687
0,1327.65,1234.45,0.9298007758068768
0,942.25,894.85,0.9496948792783232
0,1443.05,1355.85,0.9395724333876165
0,1097.95,1047.45,0.9540051914932374
0,1093.4,986.65,0.9023687580025608
0,1189.0,1116.2,0.9387720773759461
0,1278.05,1196.5,0.9361918547787645
0,1178.6,1108.0,0.9400984218564399
0,1255.5,1181.65,0.941178813221824
0,1304.15,1223.55,0.9381972932561439
0,1159.85,1090.7,0.9403802215803768
0,1212.25,1140.1,0.9404825737265415
2,1041.5,975.85,0.9369659145463274
0,1368.35,1283.45,0.9379544707129024
0,1076.05,999.7,0.9290460480460945
0,1245.05,1127.65,0.9057065981285892
0,1103.9,1020.2,0.9241779146661835
