rf,total_quartet,correct_quartet,correct_prop
0,763.35,679.15,0.8896967315124124
2,657.3,584.6,0.889396013996653
4,609.7,533.15,0.8744464490733147
0,958.85,817.15,0.8522188037753559
0,619.35,574.2,0.9271009929765076
2,588.45,518.1,0.8804486362477696
0,707.5,611.15,0.8638162544169611
0,799.9,654.2,0.8178522315289412
0,674.25,561.85,0.8332962550982573
2,821.95,673.85,0.8198187237666524
0,648.55,549.25,0.8468892144013569
2,774.9,683.45,0.8819847722286747
0,607.05,561.4,0.9248002635697224
0,645.2,546.3,0.8467141971481711
2,509.8,442.2,0.8673989799921538
2,866.45,726.05,0.8379594898724682
6,523.5,416.2,0.795033428844317
4,864.65,756.3,0.8746891805933037
2,596.05,526.95,0.8840701283449375
2,876.15,754.2,0.8608115048793015
0,1006.6,857.2,0.8515795748062785
0,677.45,572.75,0.8454498486973209
8,438.75,358.55,0.8172079772079772
0,682.5,618.1,0.9056410256410257
0,491.0,471.25,0.959775967413442
2,680.95,593.1,0.8709890594023056
0,753.0,657.4,0.8730411686586985
0,931.5,813.45,0.8732689210950081
4,665.05,576.35,0.8666265694308699
0,913.95,792.75,0.867388806827507
0,740.9,661.9,0.8933729248211635
2,680.85,577.55,0.8482778879341999
2,759.95,625.75,0.8234094348312389
2,654.7,554.3,0.8466473193829235
0,524.25,490.25,0.9351454458750597
2,929.15,784.55,0.8443738901146209
2,939.1,760.6,0.8099243956980088
0,644.3,536.4,0.8325314294583269
0,675.0,617.65,0.915037037037037
0,691.0,622.65,0.9010853835021708
2,642.85,597.35,0.9292214357937311
4,477.15,417.0,0.8739390128890286
0,857.95,750.25,0.8744682091030946
0,954.4,839.6,0.8797150041911148
2,495.7,439.75,0.8871293120839218
0,789.05,661.9,0.8388568531778722
4,784.0,684.9,0.8735969387755103
2,974.55,797.75,0.8185829357139193
2,763.9,678.3,0.8879434480953005
0,764.8,701.05,0.9166448744769874
0,874.1,769.5,0.8803340578881135
2,560.45,488.8,0.872156302970827
4,730.1,623.6,0.8541295712916039
4,674.7,565.25,0.837779753964725
0,521.2,461.4,0.885264773599386
0,1092.75,942.75,0.8627316403568978
2,683.9,587.7,0.8593361602573476
0,904.05,770.05,0.8517781096178308
0,806.6,732.95,0.9086908008926358
6,927.15,728.3,0.7855255352424095
2,715.0,607.05,0.8490209790209791
0,732.4,625.55,0.8541097760786456
