n_d,n_genes,n_species
10,25,12
5,13,8
8,17,11
5,8,5
4,9,5
1,8,7
4,12,7
11,26,11
8,22,12
1,5,5
9,17,11
12,29,16
1,5,4
3,8,5
4,11,8
10,23,15
6,10,7
7,14,8
15,29,13
6,12,7
7,22,14
4,12,7
1,9,8
11,21,7
3,5,5
5,12,9
18,30,12
23,38,9
21,30,12
2,6,4
9,23,14
3,17,13
3,12,7
2,6,5
10,25,12
7,14,8
3,6,5
10,21,10
1,5,4
8,13,8
4,6,5
5,8,6
6,12,8
3,9,6
9,24,12
5,16,10
7,16,9
3,9,7
6,13,6
13,33,15
7,16,7
1,7,6
1,9,8
4,8,5
13,23,7
2,8,6
2,5,4
4,9,8
5,13,8
5,12,6
9,16,7
3,10,8
4,10,6
3,9,6
1,6,5
1,6,6
10,17,10
16,33,13
7,14,8
11,16,9
5,15,10
11,27,11
3,9,6
3,11,8
1,5,4
5,9,4
5,11,7
2,9,7
3,12,7
15,31,13
6,12,6
10,23,12
6,14,6
3,8,5
4,8,7
2,7,5
15,34,13
6,13,9
1,6,6
3,6,4
1,6,5
8,20,7
5,13,8
7,13,4
6,15,13
5,11,6
7,19,9
1,5,4
0,4,4
5,8,4
10,25,9
3,12,9
1,6,5
8,21,11
2,6,5
2,5,4
6,20,14
5,12,7
11,16,8
5,9,5
5,15,11
6,18,7
5,13,9
0,6,6
9,15,9
4,6,4
27,48,13
12,24,14
8,21,14
5,11,5
8,19,11
5,14,10
1,4,4
30,53,15
5,15,12
1,6,5
2,11,11
7,10,7
2,5,4
10,20,7
6,16,10
9,20,10
1,7,5
8,21,8
7,14,9
4,8,5
1,10,9
9,12,5
9,19,11
9,19,12
2,8,8
1,4,4
13,27,13
2,17,13
3,7,4
7,23,13
4,11,9
2,7,5
10,23,11
10,19,9
4,10,6
13,21,8
4,10,6
20,38,14
0,4,4
3,17,14
9,20,11
4,13,9
8,23,13
8,16,8
1,7,7
5,13,10
1,6,6
11,18,5
6,14,7
6,13,8
4,15,9
14,30,13
3,9,6
2,4,4
8,14,10
2,5,4
1,7,6
5,11,7
9,20,14
12,36,10
9,17,11
2,5,4
4,6,4
11,23,10
4,14,8
17,29,11
8,18,7
18,31,13
6,14,10
4,13,7
1,6,6
13,23,8
7,10,6
10,17,7
3,7,5
2,5,5
1,7,6
9,24,14
8,21,12
2,13,10
11,23,12
2,10,9
5,18,8
7,12,5
3,6,4
11,19,9
2,7,6
6,15,11
13,25,13
9,14,4
1,6,6
16,29,12
0,5,5
0,4,4
7,14,9
6,13,8
7,16,9
6,12,7
8,21,10
8,14,10
6,14,8
5,10,6
7,14,6
9,24,14
8,26,14
8,14,8
8,14,5
2,9,7
1,6,6
4,12,9
9,16,9
5,17,13
12,23,14
5,13,8
21,52,11
4,7,4
2,4,4
1,6,5
5,13,8
3,5,4
1,5,5
2,11,7
6,22,12
3,8,5
5,10,5
5,9,6
1,5,5
1,10,9
13,28,14
8,19,11
15,24,9
10,24,10
3,8,7
6,15,8
12,26,13
11,24,12
3,7,5
2,5,4
3,9,7
1,6,5
9,20,13
5,8,4
0,4,4
9,21,9
6,25,9
5,8,5
10,14,6
12,24,12
5,13,8
11,24,11
3,7,5
4,14,10
16,37,14
6,12,5
6,19,8
8,19,10
6,19,8
2,8,6
12,18,8
7,16,10
7,17,7
13,26,14
1,5,5
10,15,6
0,4,4
3,10,7
0,5,5
14,28,14
5,12,8
11,15,7
14,32,12
5,12,6
4,10,7
6,12,6
7,21,14
6,13,7
6,13,8
1,6,5
23,55,16
12,29,13
15,31,15
5,13,10
7,21,11
5,12,6
3,6,5
8,14,8
11,20,7
7,18,12
3,11,8
13,27,14
8,20,13
7,22,11
6,11,6
7,11,4
8,16,10
18,37,14
5,15,9
3,7,4
9,20,11
5,12,8
2,7,5
4,8,5
5,13,10
4,9,6
0,4,4
11,21,11
8,19,10
1,10,8
11,18,6
0,5,5
9,17,11
2,8,6
3,15,12
13,33,14
4,12,8
3,13,11
0,6,6
1,9,7
5,13,9
8,15,9
8,25,12
2,5,4
9,26,14
17,38,14
4,11,8
21,39,9
9,16,5
5,6,4
2,6,5
3,6,5
10,23,7
5,22,9
4,15,12
5,11,6
8,13,6
9,17,10
10,17,7
4,11,6
7,17,11
3,9,8
3,12,9
1,6,5
6,12,7
3,6,5
9,17,9
4,14,12
25,52,13
7,29,15
3,10,5
3,13,11
9,15,6
5,10,6
4,11,9
4,11,7
7,18,13
1,7,7
1,8,7
4,9,6
22,46,8
3,8,4
8,21,14
9,23,9
12,18,8
6,17,8
4,9,6
1,7,7
1,6,5
6,16,8
1,6,5
3,11,8
8,22,12
13,26,12
13,20,6
5,9,5
9,28,11
3,11,8
15,32,14
5,10,5
3,7,6
0,5,5
6,18,12
10,17,7
4,10,5
10,19,10
2,7,5
2,9,7
6,11,5
4,12,6
5,21,14
2,10,8
1,5,5
6,10,5
2,8,6
2,11,9
9,24,12
1,6,4
7,14,7
3,11,9
5,17,11
6,13,7
7,12,6
9,21,8
2,6,4
4,10,7
7,11,8
1,5,5
5,9,6
1,6,6
4,14,7
10,20,7
9,21,10
7,17,12
12,25,13
9,22,12
2,8,6
2,9,8
10,20,9
7,11,9
6,12,6
3,10,8
6,14,9
11,22,13
9,25,13
0,5,5
5,21,13
1,7,6
5,12,10
8,17,10
2,8,6
0,4,4
4,12,9
5,10,4
0,4,4
4,10,6
1,8,6
2,7,6
6,14,12
2,6,4
6,18,10
5,16,13
5,17,12
3,9,7
11,26,14
2,12,8
15,27,7
6,13,5
3,12,10
8,24,8
10,26,15
4,10,6
4,9,6
4,14,11
4,5,4
7,12,6
1,4,4
5,10,9
6,19,10
1,6,5
7,15,7
12,18,11
9,29,11
1,12,11
3,11,8
0,8,8
2,12,7
1,5,4
4,11,7
14,36,12
5,9,4
3,9,7
1,5,4
11,22,11
13,25,13
1,7,6
3,7,4
6,16,10
11,20,12
2,13,9
10,23,14
5,12,4
4,9,6
8,12,5
8,20,9
3,7,5
8,20,12
11,21,9
5,8,5
12,21,10
5,10,8
15,28,12
5,13,9
3,7,4
4,17,11
8,17,11
9,17,12
4,16,11
7,16,8
7,24,12
4,9,6
8,22,13
2,9,8
6,11,6
7,13,6
18,38,14
2,5,4
3,9,6
11,29,15
1,5,4
14,34,14
3,9,7
7,19,7
4,11,9
1,5,4
11,26,10
5,15,9
2,7,7
3,5,4
6,20,14
1,7,6
8,18,6
6,19,14
8,24,15
15,44,14
8,20,9
5,12,9
2,5,4
11,25,14
4,7,6
5,13,8
12,24,10
2,7,6
4,12,8
2,7,6
4,11,8
4,11,8
5,16,15
10,27,15
10,25,15
8,27,14
7,15,10
4,8,5
8,22,12
2,7,6
9,16,9
3,7,5
6,18,9
3,11,9
7,14,7
13,28,13
10,26,14
3,9,8
1,5,4
5,18,10
6,14,8
9,26,14
7,18,11
0,8,8
1,6,6
2,7,5
1,4,4
2,6,5
16,26,14
4,10,5
5,15,9
9,24,8
15,31,13
2,5,4
19,44,9
11,28,14
15,35,14
1,6,5
15,24,7
5,14,10
6,19,13
2,7,6
3,10,9
8,18,11
6,15,7
2,8,7
19,33,14
16,30,15
6,12,7
4,6,4
8,15,11
11,20,13
7,13,8
15,30,14
3,11,7
3,8,6
2,7,5
4,10,7
1,9,8
11,24,14
11,19,8
3,7,4
35,66,15
4,14,10
2,7,6
14,31,14
3,10,8
5,9,6
11,25,12
8,18,11
13,23,12
3,8,6
5,14,8
2,8,6
12,27,14
7,27,7
12,19,8
10,23,11
5,9,6
3,9,6
7,15,8
8,18,9
5,12,5
8,21,14
5,12,6
7,15,9
11,22,12
25,54,14
5,13,8
1,7,6
11,25,7
18,31,8
11,21,9
5,7,4
7,15,8
1,10,7
11,20,10
3,10,7
6,13,6
5,15,12
5,11,6
7,14,8
5,13,9
6,13,7
11,18,7
0,6,6
2,6,5
2,8,6
5,13,9
2,7,5
3,10,7
5,14,12
7,18,7
3,10,7
2,7,6
1,8,7
9,17,9
4,16,11
2,11,10
3,14,8
10,22,13
8,20,14
1,11,11
3,11,8
10,21,7
10,27,9
14,32,15
3,10,7
6,14,9
5,11,5
5,10,7
14,39,9
6,11,4
8,19,12
7,16,10
6,9,4
2,8,6
6,14,7
13,30,14
4,9,7
2,9,7
10,22,10
3,12,10
11,26,12
16,32,12
10,22,12
4,10,7
3,8,8
0,4,4
3,9,7
4,12,8
5,10,6
10,19,12
12,26,12
2,7,6
11,26,13
6,16,10
12,22,8
15,29,14
13,25,14
2,9,7
6,13,5
6,10,4
15,31,11
6,16,8
5,8,4
5,12,8
2,6,4
7,11,8
1,5,5
23,57,9
2,5,4
9,14,5
4,17,11
8,25,12
10,23,12
1,6,6
5,13,8
5,12,9
9,16,10
18,39,12
6,15,9
5,10,6
0,4,4
16,28,14
5,10,7
5,13,8
4,11,10
2,6,5
14,38,15
5,11,9
5,14,6
6,12,7
2,10,7
8,19,12
7,18,8
4,11,6
5,21,12
11,25,13
4,10,7
7,15,8
15,32,14
2,9,8
14,28,14
27,52,15
3,8,7
3,8,6
5,14,11
7,18,10
5,17,8
15,31,14
8,12,5
18,38,12
5,15,7
9,21,12
5,9,4
4,8,7
11,25,15
5,16,11
4,10,6
7,20,12
11,25,15
4,12,8
3,10,8
9,19,8
7,11,7
4,8,4
20,31,7
0,5,5
6,12,8
9,22,13
6,21,13
5,10,6
2,4,4
5,11,8
2,4,4
5,11,8
2,6,4
5,12,10
16,22,8
8,20,11
2,8,7
8,24,13
3,16,11
1,10,10
3,9,7
4,12,8
14,28,15
3,6,4
4,15,11
6,18,13
5,13,8
6,14,8
3,10,7
1,6,6
2,7,5
12,23,9
1,7,6
2,6,4
9,18,8
9,22,9
4,15,9
13,31,15
7,13,7
10,15,8
3,11,10
9,24,12
7,13,7
9,19,9
6,11,5
2,6,4
2,13,6
14,27,14
10,20,9
14,25,7
10,25,13
6,14,9
4,10,7
6,11,5
12,24,13
12,22,7
4,12,9
2,7,5
6,12,7
4,8,5
2,6,5
1,5,5
1,6,6
10,22,13
15,26,7
10,20,10
8,16,8
2,7,5
4,7,5
5,19,13
7,14,8
9,34,15
6,14,7
4,14,9
1,8,6
22,45,15
6,23,14
10,17,9
4,18,11
3,8,6
1,4,4
3,15,10
9,22,13
