n_d,n_genes,n_species
5,24,9
7,14,9
14,33,13
3,6,4
1,5,4
10,30,7
5,12,10
14,36,13
2,9,8
11,24,13
4,11,7
1,5,4
2,11,10
4,9,7
11,24,13
1,8,5
16,33,15
8,17,9
16,35,12
6,26,13
5,16,8
5,13,7
8,23,10
6,13,5
10,22,9
2,13,11
5,15,11
10,26,8
2,9,9
6,17,9
14,33,13
7,19,8
4,17,8
3,9,5
17,33,15
4,15,10
9,14,7
10,22,9
4,12,9
11,40,14
8,17,7
12,20,10
21,46,16
9,23,13
3,12,7
3,13,10
9,23,9
2,6,5
7,17,11
8,24,13
10,26,10
12,27,13
9,25,13
13,30,11
8,17,7
13,30,14
17,33,14
5,13,7
5,14,9
7,21,15
16,34,15
6,16,10
6,13,8
8,19,12
12,31,14
5,15,7
7,23,11
5,11,6
15,29,11
3,11,7
2,7,7
10,15,8
10,28,14
14,26,7
8,12,5
5,9,6
7,21,14
2,13,9
7,22,10
4,8,5
2,11,9
0,11,11
11,22,9
5,13,10
6,11,6
11,21,6
4,13,7
9,18,6
3,7,4
3,13,8
1,8,7
2,6,4
3,8,5
10,26,16
4,15,8
20,34,13
3,12,9
7,23,15
4,12,7
10,17,9
12,35,13
3,8,6
2,6,4
12,25,11
10,23,13
4,11,7
5,16,11
10,23,8
1,7,6
3,8,6
6,16,10
4,13,9
3,7,5
5,13,11
6,26,13
2,4,4
8,20,10
4,10,4
0,7,7
2,6,5
7,28,16
3,16,13
5,15,9
8,16,6
10,31,15
2,10,9
0,12,12
7,19,10
6,16,7
3,12,7
12,28,11
4,9,5
11,25,11
4,10,8
5,13,9
4,12,6
13,36,14
2,6,5
11,23,15
5,18,15
2,7,6
4,13,11
8,19,13
15,27,9
4,15,6
2,9,7
1,9,8
14,37,9
6,17,9
11,33,14
13,29,11
8,15,9
7,21,13
5,15,9
2,6,4
12,23,9
6,18,8
11,31,15
6,10,6
2,11,10
0,5,5
31,63,16
9,18,7
13,39,15
11,20,7
4,9,6
5,13,8
13,30,9
42,93,9
11,25,14
1,5,5
8,20,8
10,25,13
8,22,14
6,13,7
6,9,4
9,20,7
4,11,7
13,22,7
4,13,10
1,5,4
1,8,7
7,18,7
7,18,9
14,27,11
4,9,5
3,7,5
5,16,9
8,19,12
5,17,12
2,13,11
21,60,15
5,11,7
5,12,7
4,16,11
10,18,6
2,8,7
3,8,5
8,23,12
7,21,15
4,8,4
3,9,7
4,11,7
0,6,6
4,8,5
3,8,5
3,9,7
2,10,8
8,14,7
2,7,7
5,13,7
9,21,13
5,12,7
3,8,6
2,6,4
3,13,9
8,23,11
11,19,8
8,17,10
3,7,5
14,41,9
16,35,12
17,38,14
11,24,13
2,8,6
3,11,7
10,21,9
10,26,12
0,5,5
6,13,6
20,40,15
5,19,12
8,15,8
16,33,13
8,18,6
7,20,8
10,22,14
4,14,11
3,8,7
8,18,11
10,17,9
11,26,11
2,15,10
3,15,13
0,6,6
9,19,9
14,32,16
5,11,8
1,9,9
15,32,14
13,24,10
15,42,16
9,25,13
4,7,5
3,10,6
12,23,7
6,13,6
11,20,13
8,27,15
5,10,7
3,11,8
6,24,11
7,13,4
2,9,7
7,17,10
10,27,13
6,19,7
9,21,10
2,12,10
1,6,4
1,6,6
7,19,14
4,10,7
6,19,11
10,30,15
12,34,15
4,11,8
10,31,14
1,5,4
0,5,5
11,23,9
10,30,13
7,12,6
21,45,16
10,25,14
8,21,13
6,16,7
15,39,12
3,16,12
5,14,10
3,9,7
3,9,7
4,14,8
7,15,10
5,15,8
4,12,8
2,6,4
5,20,11
2,16,9
1,4,4
7,14,7
5,13,8
15,37,13
13,34,9
12,21,7
7,20,9
6,18,8
5,12,7
7,23,13
11,23,10
13,23,7
3,16,11
4,9,7
4,14,13
1,7,6
10,21,10
6,26,13
3,8,6
7,16,13
5,12,9
15,29,7
2,10,8
14,31,14
4,10,7
2,10,8
11,25,12
9,29,14
5,15,9
2,7,5
4,16,13
2,10,7
9,23,12
1,4,4
5,20,12
9,29,12
21,43,15
4,11,5
5,9,8
2,10,8
4,9,6
1,5,4
3,11,8
9,16,8
3,10,8
6,13,7
6,12,8
12,21,13
9,31,14
7,16,8
9,24,10
7,15,9
1,6,6
0,7,7
14,19,7
1,10,6
2,7,6
5,13,9
3,14,11
5,16,13
5,15,9
2,8,7
4,8,6
8,17,5
3,8,5
23,43,15
21,45,13
3,8,6
13,36,12
12,20,7
1,6,5
5,11,5
8,18,7
8,17,6
7,16,11
7,14,9
11,31,14
4,10,7
5,15,9
10,20,7
1,5,4
14,31,13
4,11,7
2,5,4
5,10,5
27,50,16
1,9,8
20,47,15
4,13,7
6,12,9
12,39,8
12,27,13
2,11,8
3,12,11
8,18,11
6,13,8
3,14,12
4,8,5
9,24,14
7,12,5
1,14,13
3,7,4
7,28,9
11,27,8
3,12,9
9,18,8
16,41,12
9,17,9
3,7,5
11,29,14
4,17,13
14,25,12
7,16,7
2,7,6
1,9,8
6,12,6
2,6,5
2,8,6
5,12,7
3,9,8
3,9,5
6,12,6
6,11,5
2,6,4
8,26,10
7,12,9
5,17,12
11,27,12
17,42,15
1,8,8
7,16,9
7,15,9
3,7,4
2,10,8
2,5,4
16,29,15
6,16,11
4,15,8
3,17,15
2,8,7
5,9,5
10,30,14
14,31,15
3,7,5
6,22,13
6,17,11
22,50,14
4,16,11
4,8,5
5,12,7
0,7,7
10,17,10
1,4,4
4,7,5
17,34,9
7,15,9
4,17,14
0,7,7
12,30,12
4,8,4
4,14,11
1,14,13
1,6,6
9,16,9
0,5,5
3,10,7
2,14,12
4,10,6
