n_d,n_genes,n_species
1,7,6
8,25,13
13,38,15
17,29,6
8,28,14
10,34,16
4,11,6
5,19,12
10,27,13
5,20,9
6,23,9
12,33,14
12,31,15
10,20,9
13,27,14
8,14,7
8,19,7
8,22,8
4,16,14
4,14,10
24,44,12
3,7,4
4,12,7
33,69,16
9,32,15
6,35,16
5,16,9
10,26,13
13,35,10
4,26,16
6,21,15
4,18,15
22,51,16
11,33,16
6,25,16
25,57,15
28,61,14
4,18,15
8,32,14
5,14,9
28,57,14
8,24,13
11,33,15
1,6,5
11,33,14
5,20,14
10,26,12
3,9,6
2,16,14
8,24,15
12,30,16
10,23,12
6,20,15
8,27,9
18,59,16
1,7,6
9,17,8
20,54,15
10,30,15
15,35,11
15,44,16
13,27,14
27,55,7
8,25,13
3,9,6
16,27,12
8,24,14
10,27,16
14,36,15
18,36,15
3,18,13
31,76,16
23,63,16
1,7,6
2,7,5
14,30,13
9,33,14
18,61,15
8,21,11
6,20,14
4,9,5
3,12,8
11,32,14
11,26,16
32,71,16
18,39,14
7,24,16
36,69,15
10,30,16
24,66,16
1,5,5
22,58,16
7,21,14
27,61,16
5,14,9
17,44,9
25,62,16
2,8,6
16,36,13
18,41,13
4,12,6
9,20,11
20,49,15
4,9,5
9,27,9
7,27,14
5,27,15
19,42,15
23,42,11
18,57,9
1,10,9
18,43,16
4,10,6
11,36,16
8,19,13
14,40,12
27,58,15
28,56,15
7,20,12
3,14,12
10,29,9
3,17,13
13,41,16
6,12,6
20,50,16
3,13,9
6,20,9
2,8,6
5,26,14
11,34,15
3,15,14
10,26,9
9,19,7
15,36,13
15,40,15
16,47,12
12,33,16
8,17,9
11,22,9
18,36,16
15,52,16
7,32,14
8,27,15
1,10,8
40,98,9
7,19,13
6,17,10
27,72,16
6,23,15
17,52,14
9,30,14
2,14,12
10,18,6
22,48,16
20,65,14
8,26,16
2,6,5
3,17,14
10,25,16
39,85,16
18,36,11
16,39,14
7,16,9
8,26,15
14,38,16
3,13,10
14,30,7
8,19,9
5,12,8
1,8,7
11,21,11
18,43,16
7,26,16
11,30,15
15,41,9
8,21,15
7,22,12
