n_d,n_genes,n_species
2,8,6
17,51,16
7,21,15
1,6,5
3,16,14
12,40,14
2,8,6
0,5,5
1,7,6
5,12,8
15,42,16
19,43,9
5,16,13
10,20,11
1,9,8
8,21,12
17,34,14
5,12,7
1,8,7
15,33,14
13,36,14
3,14,9
8,24,14
4,11,8
4,11,9
19,34,14
4,11,7
0,7,7
4,13,8
4,10,9
3,9,7
1,6,5
3,9,5
9,15,5
5,12,7
5,12,8
6,14,7
11,32,14
10,25,13
3,9,7
1,4,4
14,34,14
1,8,8
10,33,13
17,41,15
11,28,14
2,15,9
5,15,12
8,31,16
2,9,6
3,14,8
3,8,5
1,4,4
3,12,9
5,20,12
2,7,5
4,16,6
3,12,9
0,6,6
4,11,7
5,10,7
9,23,12
12,20,6
3,8,5
8,26,11
13,32,14
14,31,10
6,15,11
10,23,13
1,10,10
15,26,8
5,11,7
2,9,9
1,9,5
7,22,12
19,30,13
6,12,7
16,37,15
13,32,12
5,20,13
7,21,12
1,13,11
2,10,5
14,32,14
5,9,5
1,8,7
1,7,6
9,30,13
4,17,10
6,23,14
8,25,9
2,8,6
9,21,11
13,24,7
2,5,4
2,7,5
12,31,14
1,7,6
6,11,6
3,16,8
10,23,7
4,11,7
5,17,12
11,36,15
1,6,5
7,16,9
4,19,14
5,20,8
1,6,5
6,11,6
12,32,9
6,14,9
3,12,9
9,19,9
16,44,11
6,14,7
2,17,13
17,40,15
6,27,15
2,12,9
8,14,7
7,14,8
16,31,14
2,9,8
15,38,14
0,6,6
3,8,5
4,20,13
7,17,13
7,24,14
16,32,7
17,41,12
10,27,12
2,8,6
7,20,9
7,14,7
7,20,14
39,59,15
2,6,4
11,20,10
1,7,6
16,51,9
10,30,14
6,13,8
8,25,9
5,9,5
21,35,14
4,7,5
6,11,6
3,10,7
4,9,5
5,10,8
2,9,5
0,4,4
1,8,7
2,7,5
2,7,5
7,32,15
6,22,12
6,13,6
1,7,7
2,15,14
10,18,7
5,13,8
1,6,5
10,26,11
3,7,6
22,47,11
9,21,7
14,25,13
11,20,9
3,7,5
6,15,9
10,19,7
7,15,10
11,36,14
0,9,9
5,17,13
0,5,5
13,28,13
18,50,12
10,14,5
16,39,15
8,21,13
20,34,9
26,57,9
7,13,7
7,17,9
2,6,4
1,6,5
9,18,11
11,23,11
7,15,10
0,4,4
7,19,12
6,15,6
2,8,7
5,25,14
2,12,10
1,6,5
1,5,5
5,12,8
3,8,6
7,18,11
1,7,6
6,16,8
1,8,7
2,6,4
5,13,7
3,7,4
7,17,5
3,8,6
22,38,12
3,13,11
4,8,4
13,25,12
18,36,14
3,10,7
1,4,4
9,26,8
5,12,8
7,14,6
5,21,11
2,7,5
3,9,8
26,76,15
3,11,8
0,6,6
24,47,16
16,35,14
2,7,5
21,60,14
13,31,9
8,26,9
12,31,14
0,4,4
4,11,5
17,33,13
12,31,12
14,27,9
10,19,7
1,7,7
2,10,5
5,10,6
4,8,5
3,8,6
9,15,7
2,7,5
9,26,14
13,36,15
16,42,16
9,36,12
14,39,15
9,15,10
6,15,7
11,28,9
2,7,7
16,30,12
15,33,15
7,21,9
1,6,5
5,20,14
10,28,16
4,17,13
6,16,7
3,15,7
2,6,4
1,5,4
7,19,12
4,9,6
13,21,8
7,16,10
3,9,7
2,7,5
10,30,11
4,7,4
7,16,11
6,22,13
4,8,6
4,19,11
3,8,5
6,14,9
8,22,14
3,8,5
7,16,9
5,11,6
3,7,5
15,23,7
10,26,14
10,24,9
6,13,5
3,12,7
9,22,14
8,21,10
7,18,12
4,10,5
5,12,7
7,24,10
5,10,5
0,6,6
12,19,9
14,27,15
17,43,9
12,35,15
19,43,15
8,17,6
6,17,8
10,21,7
3,10,8
8,17,8
2,9,7
4,12,7
7,15,8
4,22,16
8,16,7
2,10,8
0,4,4
0,4,4
6,12,5
3,14,11
5,12,5
8,15,6
12,32,9
8,23,13
28,69,16
8,14,5
9,31,13
11,17,7
3,6,4
9,22,12
3,13,7
2,8,5
3,7,5
4,7,5
3,7,4
3,12,9
9,24,13
5,11,6
8,24,8
13,28,12
5,21,12
0,4,4
12,36,14
4,18,13
7,19,12
5,15,13
17,42,13
2,14,8
8,16,6
5,12,6
8,23,14
4,10,7
6,12,8
3,7,5
0,4,4
13,31,7
4,10,6
4,10,7
13,29,7
15,35,16
4,12,6
0,9,9
6,17,8
22,47,15
21,47,16
3,7,4
3,8,5
9,18,7
7,20,7
4,11,7
5,16,9
17,39,16
7,14,6
3,7,4
9,21,9
21,55,13
1,14,13
14,40,16
3,9,7
2,7,5
4,18,9
5,12,7
8,26,12
6,20,13
2,7,4
2,10,9
3,10,7
7,23,14
16,32,9
4,15,11
23,40,15
9,22,11
19,29,7
5,16,8
1,6,5
12,21,11
5,16,10
15,45,9
11,20,7
11,26,7
5,9,4
4,11,9
5,22,8
11,21,9
2,8,6
7,14,6
3,11,9
8,24,7
0,5,5
4,11,7
10,28,14
8,34,9
6,14,6
8,21,7
5,13,9
6,14,9
10,29,14
4,21,11
2,6,4
5,20,12
2,7,5
1,6,5
10,30,9
5,19,13
8,29,14
1,6,5
9,22,9
3,7,6
3,13,7
1,8,8
5,15,7
4,17,13
28,46,15
0,5,5
1,4,4
5,14,9
4,18,11
6,22,14
3,12,7
1,6,6
8,19,8
12,28,13
7,24,15
2,9,8
3,9,6
7,19,9
2,7,5
10,21,10
6,15,8
2,11,9
4,15,12
11,28,14
4,10,6
2,11,6
4,9,8
9,21,7
8,16,11
3,12,9
1,5,4
5,13,8
15,38,11
1,5,4
0,6,6
16,38,13
7,23,9
8,15,9
3,14,8
8,29,11
1,11,7
5,8,4
14,29,15
1,12,8
14,40,11
9,13,4
5,14,7
13,25,7
11,26,14
18,45,11
4,12,7
10,20,12
13,37,13
9,26,12
3,14,7
8,18,7
33,62,14
3,10,6
10,21,8
6,28,15
1,14,12
5,20,12
14,41,15
17,43,15
4,15,11
12,23,10
21,58,14
3,11,7
8,21,13
15,36,14
27,55,14
2,11,7
17,34,7
8,22,15
10,33,11
17,41,9
0,7,7
0,6,6
1,7,7
5,10,5
4,13,8
2,9,8
10,29,11
0,6,6
5,10,5
5,14,8
9,24,13
12,26,7
10,17,10
8,24,12
8,17,9
3,13,11
8,25,9
5,11,7
4,8,4
8,15,10
2,7,6
6,16,9
9,29,15
8,22,14
15,24,10
4,14,11
14,33,7
3,9,6
4,15,11
6,13,5
2,9,8
1,6,5
28,50,12
2,8,6
9,22,12
15,26,9
8,14,6
3,9,6
5,15,10
13,33,15
8,21,12
5,17,11
0,7,7
18,40,16
11,24,11
1,9,8
6,16,8
19,46,14
0,7,7
8,24,13
10,25,15
1,6,5
7,12,6
6,13,6
16,28,6
15,32,13
4,11,7
0,4,4
11,24,13
3,8,5
6,14,9
6,12,5
11,26,14
8,32,14
13,36,9
10,21,9
5,11,8
6,23,13
2,9,7
5,16,8
0,5,5
13,34,16
8,11,7
4,8,4
5,14,10
18,37,11
5,11,6
2,9,7
3,12,10
9,19,9
2,9,5
3,15,12
1,6,5
1,9,7
6,24,11
13,30,12
2,9,7
8,19,7
1,6,5
5,16,12
11,26,7
6,17,9
4,12,9
19,40,14
2,6,6
12,29,10
6,13,7
3,8,5
13,20,6
5,14,7
6,15,7
1,4,4
4,12,7
11,32,12
3,13,11
5,12,8
10,20,9
12,29,15
5,12,7
4,17,9
0,6,6
9,20,12
0,10,10
7,16,9
5,18,9
3,12,9
1,8,7
1,9,8
12,26,8
1,5,4
3,10,9
8,17,11
22,47,15
3,11,6
3,15,12
17,31,14
2,15,14
2,11,6
2,8,6
3,17,15
2,7,5
8,17,10
6,19,13
8,27,13
6,15,8
6,20,8
11,31,12
2,6,6
9,31,12
0,4,4
4,14,8
3,9,7
4,11,7
11,33,9
14,41,9
4,15,11
30,66,16
6,18,12
11,22,8
3,9,5
13,27,6
3,14,8
3,9,8
10,28,16
7,15,10
2,7,6
6,17,10
7,14,7
4,9,5
10,18,6
18,47,15
17,41,14
2,6,4
3,9,5
3,9,6
3,11,7
10,20,7
4,8,5
19,36,8
12,25,11
17,46,13
0,4,4
11,36,14
7,20,15
4,17,11
6,9,4
3,9,7
13,30,13
4,13,9
1,7,6
5,13,9
8,25,15
3,16,13
5,13,9
11,20,11
10,18,7
10,25,12
3,12,6
13,31,15
11,25,10
8,15,7
2,10,6
11,33,8
2,11,9
1,6,5
6,11,5
4,9,6
2,10,8
11,35,14
5,18,13
6,12,8
16,27,7
26,65,16
1,8,7
2,14,9
3,9,6
2,5,4
4,8,7
15,30,13
8,14,7
3,7,4
4,18,13
19,47,9
13,29,9
3,13,7
15,35,12
1,8,5
3,7,5
0,6,6
23,47,16
6,19,16
16,45,16
12,37,16
3,8,5
2,7,6
1,5,5
6,18,9
12,30,13
7,19,10
6,13,7
1,6,5
4,14,11
6,16,11
2,10,6
4,11,7
0,6,6
1,7,6
3,11,8
1,9,8
3,18,9
8,21,12
10,18,9
9,23,12
4,19,10
5,14,7
14,33,13
5,10,6
5,15,12
6,26,15
26,65,16
0,6,6
9,25,13
18,50,16
5,18,13
17,29,13
9,18,7
13,19,10
5,16,12
3,10,7
8,18,14
9,23,7
7,10,5
6,12,7
9,25,12
20,39,15
5,19,12
1,5,4
10,31,16
3,11,6
1,7,6
3,10,7
6,17,7
3,9,6
5,17,12
2,7,5
8,15,8
9,21,13
6,20,9
6,20,6
16,27,13
9,17,8
21,43,9
8,16,7
5,15,10
4,13,11
3,9,6
2,14,13
3,10,8
3,16,12
23,49,15
4,9,5
6,13,7
5,14,9
5,16,8
8,18,7
16,36,12
10,37,16
16,34,13
16,31,14
0,7,7
15,34,14
6,20,15
2,8,6
5,14,8
6,9,5
3,12,10
12,34,15
4,20,14
4,9,6
6,20,9
11,41,14
8,15,7
4,11,7
10,21,11
3,12,8
16,30,9
17,41,15
4,7,4
7,19,8
5,12,6
8,13,5
13,30,16
7,25,13
4,12,7
3,11,9
34,80,16
6,15,9
10,26,9
2,8,6
15,26,8
1,6,5
3,9,6
32,56,7
26,74,9
4,9,6
1,5,5
9,23,9
4,15,13
2,9,7
4,11,8
4,8,4
6,21,13
7,25,14
8,25,13
4,10,6
8,16,8
9,21,12
3,14,11
2,9,6
5,10,6
6,18,9
3,10,7
21,51,16
5,10,6
2,10,6
27,51,14
2,8,6
0,9,9
2,8,6
4,10,7
8,17,10
1,8,7
3,10,9
5,23,12
7,22,9
5,15,11
4,10,5
10,25,14
9,19,10
3,17,13
17,33,15
12,29,9
22,59,15
4,8,6
5,12,8
4,19,12
9,18,8
2,7,6
9,26,14
9,21,8
11,40,9
6,20,11
10,17,8
14,28,7
10,24,12
1,9,7
1,7,6
17,42,8
4,14,12
11,32,15
2,11,6
11,23,12
3,7,5
3,17,14
6,13,7
6,19,11
1,4,4
5,20,12
6,23,15
9,17,6
4,13,9
1,7,6
1,10,9
9,18,7
7,26,12
5,18,13
13,32,14
9,16,8
14,35,16
11,23,13
3,11,8
12,35,16
1,12,11
7,17,7
6,21,9
2,15,10
2,11,9
0,4,4
25,50,15
5,15,12
17,44,15
10,23,13
3,10,9
5,13,8
13,31,13
15,30,7
17,32,14
5,11,8
15,34,10
5,17,12
6,12,9
8,18,7
4,17,13
2,5,4
6,18,12
5,25,14
12,31,9
0,6,6
16,35,12
16,37,16
3,11,6
7,17,10
5,14,8
9,17,8
5,18,7
8,23,12
2,15,13
7,18,13
14,28,12
8,17,7
8,17,9
5,12,5
3,12,11
11,25,8
18,40,15
6,10,5
10,20,7
9,34,12
4,11,5
2,14,11
8,15,9
5,10,7
7,23,12
13,29,13
3,9,6
1,5,4
1,8,7
8,20,9
11,32,14
31,63,15
4,13,5
22,45,14
3,7,4
15,29,14
14,34,13
25,49,15
5,10,6
7,32,15
0,7,7
7,26,9
13,45,9
3,9,7
9,17,10
2,5,4
3,9,7
2,9,7
11,31,14
1,9,9
5,22,15
2,6,5
14,30,9
3,15,12
24,43,13
7,11,4
4,15,11
2,12,11
1,8,8
6,12,8
5,18,11
3,19,10
9,20,11
4,7,4
3,8,6
5,10,6
1,7,6
5,23,15
1,11,11
5,20,12
10,25,11
5,23,7
4,12,8
4,8,4
3,8,4
9,32,9
30,80,14
10,25,9
4,12,10
18,36,12
1,7,6
11,32,13
7,23,9
5,10,4
4,18,13
8,29,15
7,18,7
12,27,9
1,9,8
8,20,10
7,16,10
7,21,9
12,25,7
3,6,5
2,11,9
4,27,15
2,8,7
18,42,15
6,13,8
10,24,13
14,28,8
10,29,13
2,10,9
5,18,8
4,11,5
2,12,10
3,9,5
18,37,9
3,14,10
1,5,4
4,12,9
9,26,9
14,36,7
27,58,15
16,25,7
0,8,8
11,28,9
5,16,12
1,5,5
14,29,11
0,6,6
7,18,10
8,23,13
0,6,6
16,30,9
10,16,8
5,16,10
8,20,10
14,23,10
7,14,9
3,6,4
3,14,7
9,19,6
9,23,7
1,6,5
10,32,9
2,9,7
2,9,7
16,48,9
28,54,12
20,45,15
8,18,6
10,21,9
7,14,10
1,4,4
4,13,7
4,7,4
13,24,7
4,9,5
13,25,7
17,40,15
1,6,6
3,18,15
1,8,6
2,7,6
11,23,12
9,16,6
4,16,8
21,49,16
2,10,9
3,7,4
1,6,5
2,8,6
6,10,4
9,21,9
9,21,11
7,18,12
2,11,9
4,7,4
7,21,14
7,13,6
3,10,7
10,38,13
8,22,12
9,25,12
7,16,8
4,10,7
11,40,16
11,28,15
6,19,8
3,10,8
9,18,6
1,4,4
1,5,4
4,10,6
4,9,5
6,15,8
4,16,12
4,14,10
9,17,7
9,28,13
10,29,12
3,10,8
7,18,9
7,18,11
3,11,9
7,17,9
4,12,10
5,12,8
15,37,13
5,12,7
3,16,8
18,44,15
6,20,11
2,11,9
15,42,15
15,32,14
2,9,9
2,9,6
1,6,5
9,19,9
23,41,14
11,22,11
1,7,6
2,6,4
3,9,7
11,27,12
1,11,8
2,6,4
5,15,11
3,10,6
0,6,6
2,9,5
3,7,4
5,18,9
10,18,9
1,10,9
7,21,10
51,102,14
16,38,13
6,11,7
4,8,5
13,32,11
3,8,6
5,22,13
6,19,13
14,33,12
2,9,8
11,28,13
1,7,6
5,16,11
4,12,7
6,19,13
11,22,7
1,11,8
9,20,10
13,29,6
3,9,7
13,32,9
5,15,11
9,30,13
8,20,9
15,44,11
22,48,14
4,19,15
10,22,13
3,12,10
4,17,13
0,5,5
24,59,13
1,12,7
4,10,6
3,11,7
4,12,8
0,6,6
5,16,11
12,29,13
10,20,7
12,26,14
12,36,9
13,25,14
5,21,13
10,25,9
4,10,7
13,30,13
0,6,6
1,4,4
7,25,14
8,21,11
7,18,11
3,14,11
6,21,9
3,8,4
16,32,13
1,7,6
5,11,8
3,10,6
5,10,6
12,27,12
3,14,12
6,17,7
1,5,4
13,35,11
1,5,4
0,8,8
24,59,14
11,35,14
5,12,6
6,17,7
12,26,7
8,14,5
1,8,6
9,20,7
10,29,15
2,7,5
5,9,6
11,27,9
5,14,9
14,38,9
10,28,15
3,12,9
8,24,9
20,37,14
16,35,16
9,29,13
2,9,7
5,15,12
7,28,9
2,10,5
5,8,4
8,17,8
0,6,6
0,4,4
7,18,9
10,29,15
10,19,7
5,14,9
3,9,7
9,21,13
3,10,8
0,4,4
1,7,6
3,9,5
2,7,6
11,29,12
1,6,5
2,5,4
3,8,5
9,30,12
1,8,7
7,22,12
5,20,7
2,7,6
8,19,6
14,35,12
9,15,7
3,10,7
12,23,8
12,21,9
7,12,4
12,18,6
8,21,12
10,32,14
9,25,8
5,13,7
11,23,14
3,9,4
5,18,11
3,16,13
16,29,7
