n_dups,std_dups,n_genes,std_genes,n_species,std_species,r_d,r_l,coal_unit,model
0,0,16,0,16,0,0,0.4,1,MLMSC-II
0,0,16,0,16,0,0,0.5,1,MLMSC-II
0,0,16,0,16,0,0,0.7,1,MLMSC-II
0,0,16,0,16,0,0,0.9,1,MLMSC-II
0,0,16,0,16,0,0,1,1,MLMSC-II
0,0,16,0,16,0,0,1.1,1,MLMSC-II
0,0,16,0,16,0,0,1.3,1,MLMSC-II
0,0,16,0,16,0,0,1.5,1,MLMSC-II
0,0,16,0,16,0,0,2,1,MLMSC-II
0,0,16,0,16,0,0,0.4,18,MLMSC-II
0,0,16,0,16,0,0,0.5,18,MLMSC-II
0,0,16,0,16,0,0,0.7,18,MLMSC-II
0,0,16,0,16,0,0,0.9,18,MLMSC-II
0,0,16,0,16,0,0,1,18,MLMSC-II
0,0,16,0,16,0,0,1.1,18,MLMSC-II
0,0,16,0,16,0,0,1.3,18,MLMSC-II
0,0,16,0,16,0,0,1.5,18,MLMSC-II
0,0,16,0,16,0,0,2,18,MLMSC-II
0,0,16,0,16,0,0,0.4,9,MLMSC-II
0,0,16,0,16,0,0,0.5,9,MLMSC-II
0,0,16,0,16,0,0,0.7,9,MLMSC-II
0,0,16,0,16,0,0,0.9,9,MLMSC-II
0,0,16,0,16,0,0,1,9,MLMSC-II
0,0,16,0,16,0,0,1.1,9,MLMSC-II
0,0,16,0,16,0,0,1.3,9,MLMSC-II
0,0,16,0,16,0,0,1.5,9,MLMSC-II
0,0,16,0,16,0,0,2,9,MLMSC-II
1.3433,0.004199408,17.84373,0.015124086,14.99158,0.006693739,1,0.4,1,MLMSC-II
1.5188,0.004399916,17.69397,0.01416014,14.90618,0.006722591,1,0.4,18,MLMSC-II
1.43084,0.004318907,17.76537,0.014613717,14.95721,0.006668301,1,0.4,9,MLMSC-II
1.3254,0.004188332,17.53095,0.015347136,14.7562,0.007316663,1,0.5,1,MLMSC-II
1.49212,0.00438326,17.35375,0.014400701,14.65839,0.007292109,1,0.5,18,MLMSC-II
1.41151,0.004325816,17.44905,0.014961988,14.70565,0.007329517,1,0.5,9,MLMSC-II
1.27671,0.004131899,16.93084,0.015773758,14.30259,0.008319242,1,0.7,1,MLMSC-II
1.4387,0.004302884,16.68752,0.014788588,14.15155,0.008344287,1,0.7,18,MLMSC-II
1.3677,0.00423114,16.8236,0.015250513,14.23593,0.008308138,1,0.7,9,MLMSC-II
1.23683,0.004052478,16.33115,0.015963729,13.84691,0.00910929,1,0.9,1,MLMSC-II
1.39948,0.004265154,16.10819,0.01510742,13.68882,0.009015669,1,0.9,18,MLMSC-II
1.31629,0.00413885,16.21277,0.015520702,13.76829,0.009089017,1,0.9,9,MLMSC-II
1.22892,0.004059596,16.10174,0.016151771,13.64578,0.009386467,1,1,1,MLMSC-II
1.3752,0.004235142,15.82221,0.015232102,13.47385,0.009270697,1,1,18,MLMSC-II
1.29865,0.00412584,15.9764,0.015621379,13.58533,0.00930801,1,1,9,MLMSC-II
1.20799,0.004025998,15.86312,0.016202162,13.46778,0.009579548,1,1.1,1,MLMSC-II
1.35076,0.00418376,15.52363,0.015261309,13.25022,0.009558609,1,1.1,18,MLMSC-II
1.28915,0.004115215,15.72183,0.015756281,13.37081,0.009573422,1,1.1,9,MLMSC-II
1.17658,0.00397411,15.35497,0.016332511,13.0666,0.010047211,1,1.3,1,MLMSC-II
1.30551,0.00411994,14.99259,0.015362015,12.83386,0.009925299,1,1.3,18,MLMSC-II
1.24441,0.004041176,15.19188,0.015781746,12.97476,0.009943019,1,1.3,9,MLMSC-II
1.15173,0.003946041,14.8915,0.01643335,12.69125,0.010358364,1,1.5,1,MLMSC-II
