rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0,0,0.999938089,2.77E-06,1820,0,0,0.4,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.5,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.7,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,0.9,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.1,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.3,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,1.5,1,MLMSC-II
0,0,0.999938089,2.77E-06,1820,0,0,2,1,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.4,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.5,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.7,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,0.9,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.1,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.3,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,1.5,18,MLMSC-II
0.642271546,0.015030495,0.904163925,0.000167039,1820,0,0,2,18,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.4,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.5,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.7,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,0.9,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.1,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.3,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,1.5,9,MLMSC-II
0.053989202,0.004583963,0.95907652,0.000106708,1820,0,0,2,9,MLMSC-II
0,0,0.999896521,5.06E-06,1578.787003,1.787170246,1,0.4,1,MLMSC-II
0.74865027,0.016301809,0.902509978,0.000179506,1509.104159,1.73124649,1,0.4,18,MLMSC-II
0.059188162,0.004793184,0.957321713,0.000114366,1547.372326,1.76030753,1,0.4,9,MLMSC-II
0,0,0.999884074,5.40E-06,1504.55041,1.900000491,1,0.5,1,MLMSC-II
