rf,std_rf,cp,std_cp,n_quartets,std_quartets,r_d,r_l,coal_unit,model
0,0,0.999939237,2.68E-06,1820,0,0,0.4,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,0.5,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,0.7,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,0.9,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,1,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,1.1,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,1.3,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,1.5,1,MLMSC-II
0,0,0.999939237,2.68E-06,1820,0,0,2,1,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,0.4,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,0.5,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,0.7,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,0.9,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,1,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,1.1,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,1.3,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,1.5,18,MLMSC-II
0.680263947,0.015399424,0.904017339,0.000166677,1820,0,0,2,18,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,0.4,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,0.5,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,0.7,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,0.9,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,1,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,1.1,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,1.3,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,1.5,9,MLMSC-II
0.051589682,0.004519238,0.958950875,0.000107301,1820,0,0,2,9,MLMSC-II
0,0,0.973927887,0.000207756,1517.466157,1.5935112,1,0.4,1,MLMSC-II
1.056188762,0.019332193,0.884490875,0.000233012,1482.019256,1.624479251,1,0.4,18,MLMSC-II
0.129974005,0.007063335,0.935885054,0.000211463,1499.996221,1.617851158,1,0.4,9,MLMSC-II
0,0,0.974316327,0.000211461,1451.264447,1.751162282,1,0.5,1,MLMSC-II
1.079784043,0.019422955,0.884511375,0.000233208,1405.546221,1.771449326,1,0.5,18,MLMSC-II
0.144371126,0.007385097,0.935213838,0.000219168,1430.326065,1.765297843,1,0.5,9,MLMSC-II
0,0,0.974254828,0.000213859,1323.874545,1.925134249,1,0.7,1,MLMSC-II
1.186562687,0.020088722,0.884035734,0.000247412,1272.331394,1.883338929,1,0.7,18,MLMSC-II
0.173165367,0.008191955,0.935154397,0.000224815,1300.770456,1.86796543,1,0.7,9,MLMSC-II
0,0,0.974053931,0.0002259,1208.715007,2.005383014,1,0.9,1,MLMSC-II
1.308138372,0.021010427,0.883462648,0.000255973,1146.436733,1.954394025,1,0.9,18,MLMSC-II
0.217956409,0.00916953,0.934357598,0.000233524,1178.89883,1.972376052,1,0.9,9,MLMSC-II
0,0,0.972633524,0.000231298,1153.909428,2.032492574,1,1,1,MLMSC-II
1.354929014,0.021600619,0.88415706,0.000261059,1093.69778,1.972691232,1,1,18,MLMSC-II
0.214357129,0.008966175,0.933825982,0.000239722,1132.562817,2.000989677,1,1,9,MLMSC-II
0,0,0.972547025,0.00023777,1106.658298,2.031740886,1,1.1,1,MLMSC-II
1.367326535,0.021357847,0.884231747,0.000260838,1044.173165,1.974331348,1,1.1,18,MLMSC-II
0.222355529,0.009209379,0.934086438,0.000244761,1081.913967,1.988840541,1,1.1,9,MLMSC-II
0,0,0.97202346,0.000249615,1015.012837,2.050660356,1,1.3,1,MLMSC-II
1.536092781,0.023269747,0.882872145,0.000273597,942.9922715,1.97529776,1,1.3,18,MLMSC-II
0.25034993,0.009810363,0.933003161,0.000256204,980.6602679,1.996847683,1,1.3,9,MLMSC-II
0,0,0.971450328,0.000256281,931.8770746,2.055747713,1,1.5,1,MLMSC-II
1.644471106,0.023441094,0.882585571,0.000287121,854.4882124,1.913171266,1,1.5,18,MLMSC-II
0.299940012,0.010683668,0.933301792,0.00026182,893.0272246,1.996815745,1,1.5,9,MLMSC-II
0.00039992,0.00039992,0.970501828,0.000284115,750.1680264,1.933017267,1,2,1,MLMSC-II
2.047190562,0.026431322,0.882177003,0.000315087,673.2908818,1.813443372,1,2,18,MLMSC-II
0.414717057,0.012571534,0.931439379,0.00029525,711.2830934,1.880043522,1,2,9,MLMSC-II
0.00039992,0.00039992,0.949229511,0.000291866,1310.988142,1.955899094,2,0.4,1,MLMSC-II
1.551289742,0.022413016,0.865274249,0.00027732,1256.245701,1.940964842,2,0.4,18,MLMSC-II
0.289542092,0.010590906,0.913179922,0.000279595,1286.868586,1.864588508,2,0.4,9,MLMSC-II
0.00119976,0.000692543,0.949066669,0.000299409,1211.181364,2.014735865,2,0.5,1,MLMSC-II
1.598880224,0.023265981,0.865107106,0.000296412,1145.930164,1.977432921,2,0.5,18,MLMSC-II
0.334733053,0.011375429,0.913158325,0.000285165,1180.04762,2.003000139,2,0.5,9,MLMSC-II
0.00039992,0.00039992,0.946852288,0.000321391,1024.434833,2.091939445,2,0.7,1,MLMSC-II
1.948410318,0.025583915,0.863108968,0.00031802,958.8912218,2.046833487,2,0.7,18,MLMSC-II
0.393121376,0.012416686,0.910262368,0.00031818,995.4019896,2.054719897,2,0.7,9,MLMSC-II
0.00239952,0.00097911,0.945554768,0.00034869,878.5491402,2.044372354,2,0.9,1,MLMSC-II
2.093981204,0.026524186,0.862829714,0.000334737,802.6626775,1.933889728,2,0.9,18,MLMSC-II
0.49310138,0.013987185,0.908930603,0.000339099,843.1610078,2.023046506,2,0.9,9,MLMSC-II
