n_d,n_genes,n_species
5,16,7
2,11,9
2,12,10
1,17,13
3,18,13
0,7,7
1,13,12
3,15,12
3,20,12
2,19,13
5,27,15
1,9,8
0,8,8
1,10,8
1,14,13
2,12,8
2,9,7
3,12,10
4,15,10
2,15,13
3,14,11
0,16,16
2,20,16
5,24,15
2,15,13
6,39,16
0,6,6
1,14,13
5,22,14
1,7,6
1,8,7
0,15,15
3,18,12
0,13,13
6,27,13
1,11,10
5,29,15
4,21,11
4,18,14
3,23,16
4,20,15
1,10,10
6,31,16
0,14,14
3,12,9
5,18,15
1,9,8
1,10,9
0,12,12
6,27,16
3,18,15
0,13,13
2,10,9
1,7,6
1,7,6
7,31,16
0,15,15
0,14,14
0,12,12
1,13,9
3,19,15
4,13,7
5,20,16
10,32,14
0,13,13
2,17,15
3,16,13
3,17,13
4,14,10
4,16,9
6,37,14
4,16,12
1,8,7
3,18,14
4,19,11
3,30,15
1,14,13
3,14,9
2,16,14
1,7,6
5,8,4
1,17,16
1,12,11
3,15,7
0,15,15
1,16,15
2,10,8
3,15,12
2,15,13
4,26,15
4,19,14
11,31,15
0,10,10
4,17,9
2,10,5
11,47,16
1,10,9
5,24,13
1,14,13
4,20,16
1,12,11
1,9,8
3,15,13
1,8,7
4,21,16
5,17,12
0,6,6
0,11,11
4,20,9
4,17,13
2,20,12
6,27,15
5,20,9
3,17,15
11,30,15
2,17,15
2,7,5
2,18,14
3,9,6
5,22,14
1,18,15
1,9,8
2,7,5
1,8,7
5,30,11
1,16,16
4,31,16
8,30,15
0,8,8
0,9,9
2,17,14
2,11,7
0,4,4
1,16,15
1,10,9
2,15,13
3,18,15
0,5,5
4,20,14
2,14,12
2,17,14
5,29,15
5,32,16
2,7,5
2,7,5
3,10,7
2,16,14
5,20,14
4,21,16
0,10,10
4,19,9
1,10,9
1,15,14
3,21,16
2,15,14
6,29,16
1,14,13
0,5,5
2,16,14
5,30,12
5,20,15
1,17,13
4,29,16
3,15,11
2,11,9
5,25,16
4,25,15
2,8,6
4,17,13
5,20,13
1,6,5
2,8,6
5,16,11
1,4,4
3,23,16
4,22,9
2,12,11
7,22,15
1,9,8
3,22,14
5,27,15
1,14,13
3,11,6
3,15,12
2,17,15
3,13,11
2,15,13
6,33,16
4,21,12
4,21,14
1,8,7
2,16,9
2,14,9
5,19,15
1,10,10
2,9,7
5,26,15
2,17,15
0,11,11
2,13,9
