n_d,n_genes,n_species
2,21,14
0,16,16
0,4,4
3,19,14
1,6,5
6,29,14
1,10,6
1,15,14
0,14,14
1,7,6
1,15,14
0,8,8
3,17,14
0,4,4
5,15,8
2,18,16
0,7,7
3,12,8
3,22,13
1,15,14
3,10,7
4,19,15
7,40,16
0,6,6
2,17,15
0,14,14
2,15,13
1,18,15
0,6,6
2,8,7
3,14,13
0,13,13
1,13,12
3,14,9
2,19,16
3,17,13
1,6,5
0,13,13
2,14,12
1,13,12
0,8,8
6,27,15
1,9,8
2,17,15
0,7,7
2,18,16
2,11,9
6,23,16
1,8,7
3,12,9
7,27,16
0,13,13
2,16,14
3,17,14
3,17,14
2,21,15
3,19,16
2,16,14
4,13,9
7,23,15
2,13,9
0,11,11
2,17,15
2,14,12
1,9,6
2,17,15
4,28,16
2,15,13
1,6,5
1,8,7
3,18,14
1,8,7
1,13,13
3,13,9
3,18,15
2,17,15
6,27,16
6,29,14
2,12,10
2,22,15
5,19,11
6,18,13
1,15,14
2,16,14
2,10,7
6,21,16
0,8,8
2,19,15
1,17,16
0,5,5
4,22,15
4,13,7
2,15,14
0,12,12
3,15,13
1,7,6
3,14,7
0,14,14
5,21,15
4,25,16
